objectid,cat1,cat2,cat3,cat3,cat4,cat5
139899,Dice,NaN,NaN,NaN,NaN,NaN
216094,card, Exploration, Puzzle, Real-time,NaN,NaN
10997,American West, card,NaN,NaN,NaN,NaN
223376,Fantasy, Miniatures, Adaptation, War,NaN,NaN
254713,Dice, Sci_Fi, Space Exploration,NaN,NaN,NaN
250442,card, Dice, Medieval, Renaissance,NaN,NaN
155463,card, Adaptation,NaN,NaN,NaN,NaN
77,War, War,NaN,NaN,NaN,NaN
209324,Adventure, Exploration, Horror, Miniatures, Sci_Fi,NaN
225818,Economic, Trains,NaN,NaN,NaN,NaN
36946,Fantasy, Humor, War,NaN,NaN,NaN
227758,Transportation,NaN,NaN,NaN,NaN,NaN
73070,Ancient, City Building, Civilization, Mythology,NaN,NaN
98918,Environmental, Prehistoric,NaN,NaN,NaN,NaN
218920,City Building, Renaissance,NaN,NaN,NaN,NaN
222407,Economic, Environmental, industry_manuf, Transportation,NaN,NaN
162009,American War, War,NaN,NaN,NaN,NaN
218804,Fantasy,NaN,NaN,NaN,NaN,NaN
231218,Deduction, Print & Play, Renaissance,NaN,NaN,NaN
1270,card, Collectible, Adaptation, Sci_Fi,NaN,NaN
19995,Transportation,NaN,NaN,NaN,NaN,NaN
238546,Civilization, Medieval,NaN,NaN,NaN,NaN
691,Deduction, Economic,NaN,NaN,NaN,NaN
206150,Age of Reason, War, card, Educational, War,NaN
7,strategy,NaN,NaN,NaN,NaN,NaN
216070,Deduction, Dice, Fantasy, Fighting, Adaptation,NaN
124965,card, Fantasy, Miniatures, War,NaN,NaN
192455,Adventure, Exploration, Sci_Fi, Space Exploration,NaN,NaN
36400,American War, War,NaN,NaN,NaN,NaN
210290,Adaptation, Sci_Fi,NaN,NaN,NaN,NaN
32944,City Building, Economic,NaN,NaN,NaN,NaN
4394,Civilization, Negotiation, Prehistoric,NaN,NaN,NaN
634,strategy,NaN,NaN,NaN,NaN,NaN
66587,card, Fantasy,NaN,NaN,NaN,NaN
103686,card, Economic, War, Renaissance,NaN,NaN
15318,Renaissance,NaN,NaN,NaN,NaN,NaN
181797,Animals, Environmental,NaN,NaN,NaN,NaN
6819,card,NaN,NaN,NaN,NaN,NaN
67877,Party Game, Real-time, Trivia, Word Game,NaN,NaN
22897,Collectible, Fantasy, Horror, Miniatures,NaN,NaN
45748,City Building, Medieval, Territory Building,NaN,NaN,NaN
125046,Adventure, Fantasy,NaN,NaN,NaN,NaN
238656,Fantasy, Medieval,NaN,NaN,NaN,NaN
208773,War, War,NaN,NaN,NaN,NaN
6887,card, Adaptation,NaN,NaN,NaN,NaN
205494,card, City Building, Dice,NaN,NaN,NaN
122588,card, Fantasy, Miniatures, War,NaN,NaN
17240,Humor,NaN,NaN,NaN,NaN,NaN
180956,Bluffing, card, Deduction, Horror, Party Game,NaN
209001,Adventure, card, Dice, Fantasy, Fighting,NaN
215312,Deduction,NaN,NaN,NaN,NaN,NaN
81453,card, Mafia,NaN,NaN,NaN,NaN
158109,Adaptation, Fighting, Sci_Fi, Space Exploration, Transportation,NaN
78733,Economic, Farming, Medieval,NaN,NaN,NaN
252526,Dexterity, Humor, Party Game, Real-time,NaN,NaN
8095,Adventure, Fantasy, Fighting,NaN,NaN,NaN
949,strategy,NaN,NaN,NaN,NaN,NaN
145203,Economic, Environmental,NaN,NaN,NaN,NaN
35488,Bluffing, Deduction, Medieval, murder_mystery, Adaptation,NaN
217,Dexterity,NaN,NaN,NaN,NaN,NaN
39206,Dexterity, Childrens Game,NaN,NaN,NaN,NaN
276894,Trains,NaN,NaN,NaN,NaN,NaN
38309,Age of Reason, Medieval, Negotiation, War, Political, Renaissance
382,Bluffing, secret_agent,NaN,NaN,NaN,NaN
3085,card, Political,NaN,NaN,NaN,NaN
32674,Collectible, Fighting, Miniatures, Sci_Fi,NaN,NaN
253618,card, Fighting, Real-time,NaN,NaN,NaN
216600,card, Dice,NaN,NaN,NaN,NaN
2603,Adventure, card, Collectible, Fantasy, Adaptation, Adaptation
124827,Adventure, Fighting, Miniatures, Sci_Fi, Space Exploration,NaN
170587,Bluffing, card, Deduction, Horror, Negotiation, Party Game
253684,strategy, Animals, Puzzle,NaN,NaN,NaN
19427,strategy,NaN,NaN,NaN,NaN,NaN
21791,City Building, Medieval,NaN,NaN,NaN,NaN
214396,Bluffing, card, Deduction, Horror,NaN,NaN
259298,Ancient, Civilization, Fantasy,NaN,NaN,NaN
175549,Bluffing, card, Deduction, Print & Play,NaN,NaN
1042,card, Fantasy, Fighting, Negotiation,NaN,NaN
271869,Dice,NaN,NaN,NaN,NaN,NaN
128445,Adventure, Fantasy, Horror,NaN,NaN,NaN
198609,Adventure, Dice, Horror, Miniatures, Mythology,NaN
37196,Dexterity, Childrens Game,NaN,NaN,NaN,NaN
283948,Dice, Economic, Medieval, Travel,NaN,NaN
11229,Adventure, Collectible, Miniatures, Adaptation, Sci_Fi,NaN
16991,strategy, Electronic,NaN,NaN,NaN,NaN
17161,Civilization, Territory Building,NaN,NaN,NaN,NaN
258444,Fantasy, Humor, Mythology, Adaptation, Puzzle,NaN
90305,Economic,NaN,NaN,NaN,NaN,NaN
233961,card, Fantasy,NaN,NaN,NaN,NaN
118418,Bluffing, card, Deduction,NaN,NaN,NaN
129050,Deduction, murder_mystery, secret_agent,NaN,NaN,NaN
184459,Ancient, Civilization, Economic,NaN,NaN,NaN
156501,card, Economic, Medieval, Negotiation,NaN,NaN
210232,Adventure, Exploration, Fantasy,NaN,NaN,NaN
199793,strategy, Mythology, Territory Building,NaN,NaN,NaN
145633,card, Fantasy,NaN,NaN,NaN,NaN
242684,Grey Fox Games, Arrakis Games, Corax Games, Meeple BR Jogos,NaN,NaN
128931,Medieval, Territory Building,NaN,NaN,NaN,NaN
32484,card, War, War,NaN,NaN,NaN
80771,Adventure, Bluffing, card, Exploration, Fantasy, Fighting
63170,Economic, Trains, Transportation,NaN,NaN,NaN
148729,Print & Play, War,NaN,NaN,NaN,NaN
223770,card,NaN,NaN,NaN,NaN,NaN
172547,Medieval,NaN,NaN,NaN,NaN,NaN
91523,Animals, Environmental, Puzzle, Real-time,NaN,NaN
23107,Adventure, Fantasy, Maze,NaN,NaN,NaN
145645,Deduction, Adaptation,NaN,NaN,NaN,NaN
142296,card, Educational, Humor, Party Game, Word Game,NaN
203430,card, Number,NaN,NaN,NaN,NaN
798,Aviation, Book, War, War,NaN,NaN
20,Sci_Fi,NaN,NaN,NaN,NaN,NaN
2533,card, Fantasy,NaN,NaN,NaN,NaN
3870,Civilization, War,NaN,NaN,NaN,NaN
173105,Miniatures, War, War,NaN,NaN,NaN
118705,Dexterity, card, Childrens Game, Party Game, Real-time,NaN
2529,Aviation, War, War, War,NaN,NaN
216428,strategy, Animals, Puzzle,NaN,NaN,NaN
4491,Fantasy,NaN,NaN,NaN,NaN,NaN
2476,Economic, Environmental, industry_manuf,NaN,NaN,NaN
191572,Animals,NaN,NaN,NaN,NaN,NaN
212281,Fantasy, Medieval, Miniatures, Mythology, Puzzle,NaN
166317,Economic, Sports,NaN,NaN,NaN,NaN
267319,Fantasy,NaN,NaN,NaN,NaN,NaN
159692,War, American West, War,NaN,NaN,NaN
216632,card,NaN,NaN,NaN,NaN,NaN
225167,Bluffing, card, Deduction, Mafia, Party Game, secret_agent
38506,Fantasy, Horror, Adaptation,NaN,NaN,NaN
31479,Puzzle, Real-time,NaN,NaN,NaN,NaN
3972,City Building, Civilization, Negotiation,NaN,NaN,NaN
41429,War, War,NaN,NaN,NaN,NaN
131835,card, Fantasy, Adaptation,NaN,NaN,NaN
531,Economic, Real-time, Renaissance,NaN,NaN,NaN
286,Bluffing, Negotiation, Political, Renaissance, War,NaN
257769,card, Territory Building,NaN,NaN,NaN,NaN
16366,card, Humor, Adult,NaN,NaN,NaN
1044,American West, Fighting, War,NaN,NaN,NaN
158340,Bluffing, card, Deduction,NaN,NaN,NaN
770,card, War, Pirates,NaN,NaN,NaN
157789,card, Medical,NaN,NaN,NaN,NaN
255674,Ancient,NaN,NaN,NaN,NaN,NaN
37120,Dexterity, Puzzle, Real-time,NaN,NaN,NaN
215613,strategy,NaN,NaN,NaN,NaN,NaN
129731,Miniatures, Sci_Fi, Sports,NaN,NaN,NaN
273477,Bluffing, Deduction, Exploration, Party Game,NaN,NaN
140535,card,NaN,NaN,NaN,NaN,NaN
1111,Party Game, Real-time, Word Game,NaN,NaN,NaN
245476,strategy, Animals, card,NaN,NaN,NaN
259374,card, Deduction,NaN,NaN,NaN,NaN
200890,Economic, Fantasy, Mythology,NaN,NaN,NaN
283863,Dice, Economic,NaN,NaN,NaN,NaN
176530,card, Economic, industry_manuf,NaN,NaN,NaN
226634,Bluffing, Deduction, Horror, Adaptation, Sci_Fi, secret_agent
180020,card, Medical,NaN,NaN,NaN,NaN
19348,Medieval, Political, War,NaN,NaN,NaN
191004,Childrens Game, Memory, Prehistoric,NaN,NaN,NaN
19643,card, Collectible, Fantasy, Adaptation,NaN,NaN
131904,card, Fantasy,NaN,NaN,NaN,NaN
10550,Real-time, Word Game,NaN,NaN,NaN,NaN
201248,Animals, card, Educational, Environmental, Prehistoric,NaN
270971,City Building, Civilization, Dice, Medieval,NaN,NaN
108,strategy, Real-time,NaN,NaN,NaN,NaN
245271,Electronic, Sci_Fi,NaN,NaN,NaN,NaN
242722,Negotiation, Political, Religious, Renaissance, War,NaN
168054,card, Mafia,NaN,NaN,NaN,NaN
40381,card,NaN,NaN,NaN,NaN,NaN
18866,Animals,NaN,NaN,NaN,NaN,NaN
40832,card, Number,NaN,NaN,NaN,NaN
234396,card, Humor, Party Game,NaN,NaN,NaN
173200,Fantasy, Fighting, Humor,NaN,NaN,NaN
936,Adventure, Deduction, Fighting, Horror, Adaptation,NaN
153097,Adventure, Adaptation, Fighting,NaN,NaN,NaN
38786,War, War,NaN,NaN,NaN,NaN
256,War, Racing, Transportation,NaN,NaN,NaN
28620,Ancient, Civilization, Economic,NaN,NaN,NaN
5867,Educational, Travel,NaN,NaN,NaN,NaN
39188,War, War,NaN,NaN,NaN,NaN
244,Ancient, Fighting, Racing,NaN,NaN,NaN
148203,card, Real-time,NaN,NaN,NaN,NaN
12350,Sci_Fi,NaN,NaN,NaN,NaN,NaN
156496,Animals, Civilization, Exploration,NaN,NaN,NaN
163841,Economic, Trains,NaN,NaN,NaN,NaN
119781,card, Exploration, Sci_Fi,NaN,NaN,NaN
22532,Aviation, card, War, War,NaN,NaN
348,Economic, Medieval, Negotiation, Transportation,NaN,NaN
59,Economic, Exploration, industry_manuf,NaN,NaN,NaN
162,Sci_Fi, War,NaN,NaN,NaN,NaN
245352,card, Exploration, Puzzle, Real-time,NaN,NaN
193621,card, Adaptation, Humor, Adult, Party Game,NaN
20133,War, War,NaN,NaN,NaN,NaN
244191,Adventure, Bluffing, Exploration, Maze,NaN,NaN
119012,City Building, Economic,NaN,NaN,NaN,NaN
205125,Childrens Game, Trains,NaN,NaN,NaN,NaN
1423,War, War,NaN,NaN,NaN,NaN
192934,card, Dice, Sci_Fi,NaN,NaN,NaN
103649,card, City Building,NaN,NaN,NaN,NaN
168274,Adventure, card, Fantasy,NaN,NaN,NaN
8730,Age of Reason, American Revolutionary War, War, War, War,NaN
154301,Sci_Fi, Adaptation,NaN,NaN,NaN,NaN
59753,Ancient, Mythology,NaN,NaN,NaN,NaN
103660,Bluffing, Economic, Negotiation,NaN,NaN,NaN
183284,Puzzle, Real-time,NaN,NaN,NaN,NaN
127127,card, Fantasy, Adaptation, Adaptation,NaN,NaN
200454,Educational, Sci_Fi, Space Exploration,NaN,NaN,NaN
8195,Animals, Childrens Game, Dice,NaN,NaN,NaN
227072,Bluffing, card, Deduction, Humor, Party Game, Word Game
215463,Dexterity,NaN,NaN,NaN,NaN,NaN
99392,Civilization, Economic, Exploration, Political, Territory Building,NaN
220775,card, Deduction, Adaptation, Party Game, Word Game,NaN
124969,card, Fantasy, Miniatures, War,NaN,NaN
255507,Civilization, Mythology, Territory Building,NaN,NaN,NaN
156548,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
1491,Economic, Sci_Fi,NaN,NaN,NaN,NaN
70519,War, War, Political, Religious, Renaissance, War
68820,War, War,NaN,NaN,NaN,NaN
932,Racing,NaN,NaN,NaN,NaN,NaN
25261,Fantasy, Fighting, Horror, Miniatures, Sci_Fi, secret_agent
132544,Bluffing, card, Economic, Educational, industry_manuf,NaN
204431,Bluffing, card, Deduction, Horror, Party Game,NaN
1484,Childrens Game, Deduction,NaN,NaN,NaN,NaN
987,Medieval, Political, Renaissance, War,NaN,NaN
149241,Adventure, Exploration, Fantasy, Fighting, Humor, Zombies
193557,strategy,NaN,NaN,NaN,NaN,NaN
153737,Exploration, War, Transportation,NaN,NaN,NaN
128554,strategy, Mythology,NaN,NaN,NaN,NaN
168679,card, City Building,NaN,NaN,NaN,NaN
1262,War, War,NaN,NaN,NaN,NaN
197097,Adventure, Book, Exploration, Fantasy, Print & Play,NaN
200934,War,NaN,NaN,NaN,NaN,NaN
55952,Economic, industry_manuf, Negotiation,NaN,NaN,NaN
28723,card, Economic, War,NaN,NaN,NaN
8107,Adventure, Fantasy, Adaptation, Adaptation, Territory Building, War
7865,Educational, Travel,NaN,NaN,NaN,NaN
149809,Dice, Real-time, Zombies,NaN,NaN,NaN
160081,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
139952,Civilization, Fantasy, Territory Building, War,NaN,NaN
2288,Fantasy, Fighting, Sports,NaN,NaN,NaN
199904,Ancient, Political, War,NaN,NaN,NaN
232666,Dice, Fighting, Medieval,NaN,NaN,NaN
153623,card, City Building, Puzzle,NaN,NaN,NaN
632,Aviation, Bluffing, card,NaN,NaN,NaN
62871,Dice, Horror, Humor, Party Game, Zombies,NaN
34969,Puzzle, Real-time,NaN,NaN,NaN,NaN
256066,Miniatures, Sci_Fi, War,NaN,NaN,NaN
9364,card,NaN,NaN,NaN,NaN,NaN
130882,Animals, card, Educational,NaN,NaN,NaN
37734,American West,NaN,NaN,NaN,NaN,NaN
96152,card, Fantasy, Fighting, Horror,NaN,NaN
205867,card,NaN,NaN,NaN,NaN,NaN
248005,card, Sci_Fi,NaN,NaN,NaN,NaN
1589,Adaptation, Sci_Fi, Space Exploration, War,NaN,NaN
181819,Ancient, card, Dice, Fantasy, Fighting, Horror
171479,Ancient, Educational, Religious,NaN,NaN,NaN
140717,card, Civilization,NaN,NaN,NaN,NaN
266083,card,NaN,NaN,NaN,NaN,NaN
23418,War, War,NaN,NaN,NaN,NaN
119637,Trains, Travel,NaN,NaN,NaN,NaN
40425,Exploration, War,NaN,NaN,NaN,NaN
178570,card, Deduction, murder_mystery, Party Game,NaN,NaN
285984,Fantasy, Fighting, Medieval,NaN,NaN,NaN
264982,American West, City Building,NaN,NaN,NaN,NaN
223,Exploration, Transportation, Travel,NaN,NaN,NaN
1194,Racing, Sports,NaN,NaN,NaN,NaN
143157,card,NaN,NaN,NaN,NaN,NaN
169464,Adventure, Dice, Fighting, Miniatures,NaN,NaN
1334,Exploration, War,NaN,NaN,NaN,NaN
883,card, Fighting, Medieval,NaN,NaN,NaN
143176,industry_manuf, Sci_Fi,NaN,NaN,NaN,NaN
102104,card, Sci_Fi,NaN,NaN,NaN,NaN
75212,Economic, Farming,NaN,NaN,NaN,NaN
133528,Dice, Economic, Fighting, Miniatures, Sci_Fi, Territory Building
154003,Ancient,NaN,NaN,NaN,NaN,NaN
16216,Medieval,NaN,NaN,NaN,NaN,NaN
145976,Sci_Fi, War,NaN,NaN,NaN,NaN
4688,War, War, War,NaN,NaN,NaN
172552,Animals, card, Religious,NaN,NaN,NaN
171890,card,NaN,NaN,NaN,NaN,NaN
19841,strategy,NaN,NaN,NaN,NaN,NaN
274637,card, Fantasy, Fighting, Miniatures, Mythology, Adaptation
220632,Horror, Humor, Miniatures,NaN,NaN,NaN
25729,War, War,NaN,NaN,NaN,NaN
805,Horror, Adaptation,NaN,NaN,NaN,NaN
118000,Adventure, Exploration, Travel,NaN,NaN,NaN
32116,Aviation, Dice, industry_manuf,NaN,NaN,NaN
117960,City Building, Dice,NaN,NaN,NaN,NaN
21654,Ancient, Bluffing, card, Mythology,NaN,NaN
105593,Dexterity, card,NaN,NaN,NaN,NaN
17393,Ancient, Political, War,NaN,NaN,NaN
182704,Dice, Trains,NaN,NaN,NaN,NaN
34615,City Building, Exploration,NaN,NaN,NaN,NaN
111,strategy, Medieval, Territory Building,NaN,NaN,NaN
253635,City Building, Economic, Renaissance,NaN,NaN,NaN
37400,Dice,NaN,NaN,NaN,NaN,NaN
46007,Ancient, Civilization, Medieval, Renaissance, War,NaN
256788,Bluffing, card, Deduction, Humor, Party Game,NaN
161226,Ancient, City Building,NaN,NaN,NaN,NaN
173761,Humor, Adult, Party Game, Real-time,NaN,NaN
3236,Animals, Prehistoric,NaN,NaN,NaN,NaN
140343,Dexterity, Horror, Renaissance, Zombies,NaN,NaN
93724,Bluffing, Economic, Exploration,NaN,NaN,NaN
75091,Economic, Medieval,NaN,NaN,NaN,NaN
55253,Mythology,NaN,NaN,NaN,NaN,NaN
3097,Economic, Trains, Transportation,NaN,NaN,NaN
23817,Economic, Trains,NaN,NaN,NaN,NaN
122,Ancient, Negotiation, Political,NaN,NaN,NaN
250621,card, Economic, Adaptation, Trains, Transportation,NaN
8170,Adventure, Exploration, Fantasy,NaN,NaN,NaN
520,War, War,NaN,NaN,NaN,NaN
40398,card, Economic,NaN,NaN,NaN,NaN
245045,card, Puzzle, Real-time,NaN,NaN,NaN
42939,Fighting, Sci_Fi,NaN,NaN,NaN,NaN
1621,Sci_Fi, War,NaN,NaN,NaN,NaN
214293,Horror, Adaptation, Real-time,NaN,NaN,NaN
130486,City Building, Economic, Territory Building,NaN,NaN,NaN
204286,Adventure, Adaptation, Dice, Fantasy, Fighting, Miniatures
207572,War, War,NaN,NaN,NaN,NaN
242653,Adventure, Exploration, Fantasy, Miniatures,NaN,NaN
233955,American West, City Building, Territory Building,NaN,NaN,NaN
35505,card, Humor, Pirates,NaN,NaN,NaN
27356,strategy,NaN,NaN,NaN,NaN,NaN
185123,card, Fantasy,NaN,NaN,NaN,NaN
36708,Racing, Sports,NaN,NaN,NaN,NaN
124968,card, Fantasy, Miniatures, War,NaN,NaN
193322,card, Economic, Sci_Fi, Adaptation,NaN,NaN
23451,City Building, Real-time, Sci_Fi, Transportation,NaN,NaN
196496,card, War, War,NaN,NaN,NaN
189,Medieval, Negotiation,NaN,NaN,NaN,NaN
6068,Age of Reason, Bluffing, card, Adaptation,NaN,NaN
27463,Civilization, Sci_Fi, Space Exploration,NaN,NaN,NaN
262543,Party Game,NaN,NaN,NaN,NaN,NaN
223931,Deduction, murder_mystery, Adaptation, Post-War, Puzzle, secret_agent
4249,Animals, Prehistoric,NaN,NaN,NaN,NaN
164812,Dice,NaN,NaN,NaN,NaN,NaN
101,card, Racing,NaN,NaN,NaN,NaN
30241,Medieval,NaN,NaN,NaN,NaN,NaN
197320,Fighting, Sci_Fi, Space Exploration,NaN,NaN,NaN
193560,murder_mystery, Party Game, Puzzle,NaN,NaN,NaN
296,Economic, Medieval,NaN,NaN,NaN,NaN
223278,Post-War,NaN,NaN,NaN,NaN,NaN
139033,City Building, Economic, Medieval,NaN,NaN,NaN
23686,Humor, Party Game,NaN,NaN,NaN,NaN
232361,card, Horror, Zombies,NaN,NaN,NaN
129351,Environmental, Exploration, Maze, Travel,NaN,NaN
251293,Fantasy, Adaptation,NaN,NaN,NaN,NaN
2612,Economic, Print & Play, Trains, Transportation,NaN,NaN
23730,Civilization, Mythology,NaN,NaN,NaN,NaN
8490,War, War,NaN,NaN,NaN,NaN
191301,Adaptation, Miniatures, Zombies,NaN,NaN,NaN
169147,Economic, Word Game,NaN,NaN,NaN,NaN
231567,Aviation, Real-time, Transportation,NaN,NaN,NaN
28829,War, War,NaN,NaN,NaN,NaN
7866,Educational, Travel,NaN,NaN,NaN,NaN
112373,card, Fantasy,NaN,NaN,NaN,NaN
203411,Party Game, Word Game,NaN,NaN,NaN,NaN
237087,card, Electronic, Music, Party Game, Real-time,NaN
209325,card, Number,NaN,NaN,NaN,NaN
85250,Bluffing, card, Fantasy,NaN,NaN,NaN
35572,War, Renaissance,NaN,NaN,NaN,NaN
80006,Dexterity, murder_mystery, Party Game,NaN,NaN,NaN
788,Adventure, Arabian, Fantasy,NaN,NaN,NaN
255675,Deduction,NaN,NaN,NaN,NaN,NaN
2266,strategy, Memory,NaN,NaN,NaN,NaN
269725,Dice,NaN,NaN,NaN,NaN,NaN
508,Aviation, War, War,NaN,NaN,NaN
4209,Childrens Game, Dice, Racing, Sports,NaN,NaN
147537,Collectible, Fantasy, Horror, Miniatures, Sci_Fi,NaN
15369,War, War,NaN,NaN,NaN,NaN
141090,Economic, industry_manuf,NaN,NaN,NaN,NaN
125311,strategy,NaN,NaN,NaN,NaN,NaN
5622,War, War, War,NaN,NaN,NaN
147930,Bluffing, Deduction, Fighting, Medieval,NaN,NaN
228411,card, Political,NaN,NaN,NaN,NaN
241266,City Building, Medieval,NaN,NaN,NaN,NaN
5406,Economic, Territory Building,NaN,NaN,NaN,NaN
231280,Dice, Farming,NaN,NaN,NaN,NaN
185538,Fantasy, Fighting, Mythology, Sci_Fi,NaN,NaN
27048,Aviation, War, War,NaN,NaN,NaN
25951,Bluffing, card, Deduction, Fighting, Party Game,NaN
126008,card, Fantasy, Miniatures, War,NaN,NaN
197065,Ancient, card, Mythology, Religious,NaN,NaN
31291,War, War,NaN,NaN,NaN,NaN
3041,War, War,NaN,NaN,NaN,NaN
5620,War, War, War,NaN,NaN,NaN
3421,Dice, Sports,NaN,NaN,NaN,NaN
36888,Ancient, Civilization, Fighting,NaN,NaN,NaN
109779,Dice, Farming,NaN,NaN,NaN,NaN
198138,card, Fantasy, Fighting,NaN,NaN,NaN
177939,Collectible, Adaptation, Dice, Fighting,NaN,NaN
240855,Fantasy,NaN,NaN,NaN,NaN,NaN
40770,Adventure, Ancient,NaN,NaN,NaN,NaN
185196,Adventure, Deduction, Electronic, Puzzle, Sci_Fi,NaN
714,Adventure, Exploration, Fantasy, Fighting,NaN,NaN
90870,Puzzle, Real-time,NaN,NaN,NaN,NaN
136000,Miniatures, War,NaN,NaN,NaN,NaN
3439,Collectible, Adaptation, Dice, Fighting, Miniatures,NaN
265,Negotiation, Renaissance,NaN,NaN,NaN,NaN
206504,strategy, card, Adaptation,NaN,NaN,NaN
169704,Bluffing, card, Deduction, Fantasy,NaN,NaN
95105,card, Dice, Sports,NaN,NaN,NaN
11945,Deduction, Party Game, secret_agent, Word Game,NaN,NaN
257283,Sci_Fi,NaN,NaN,NaN,NaN,NaN
135281,Economic, War, Renaissance,NaN,NaN,NaN
24762,Economic, Renaissance,NaN,NaN,NaN,NaN
256320,Ancient,NaN,NaN,NaN,NaN,NaN
3967,Miniatures, Sci_Fi,NaN,NaN,NaN,NaN
187687,card, Fantasy, Fighting,NaN,NaN,NaN
198287,Adventure, Fantasy, Puzzle,NaN,NaN,NaN
8924,Dexterity, Childrens Game, Dice, Humor, Party Game,NaN
189067,Dice, Fantasy,NaN,NaN,NaN,NaN
216658,card,NaN,NaN,NaN,NaN,NaN
3139,Exploration,NaN,NaN,NaN,NaN,NaN
179182,Dice, Fighting,NaN,NaN,NaN,NaN
173634,card, Fantasy, Humor, Medieval, Party Game,NaN
175,Animals, Bluffing, card,NaN,NaN,NaN
217776,Bluffing, card, Economic, industry_manuf, Math, War
198522,card, Deduction, Adaptation, secret_agent,NaN,NaN
24037,Adventure, War,NaN,NaN,NaN,NaN
197831,Exploration, Fantasy, Fighting, Medieval, Miniatures, Adaptation
17053,Bluffing, card, Childrens Game, Deduction, Educational, Fantasy
209660,Adventure, Exploration, Fantasy, Fighting, Miniatures,NaN
2162,Fighting, Miniatures, Sci_Fi,NaN,NaN,NaN
100679,Fantasy, Fighting, Humor, Party Game,NaN,NaN
243430,card,NaN,NaN,NaN,NaN,NaN
130877,Bluffing, Deduction, Fantasy, Horror, Negotiation, Party Game
3202,Aviation, War, War,NaN,NaN,NaN
142402,card, Fantasy, Humor, Medieval, Party Game,NaN
39336,Economic, industry_manuf,NaN,NaN,NaN,NaN
11168,Collectible, Miniatures, War, War,NaN,NaN
148290,strategy, American West, Animals,NaN,NaN,NaN
71655,Real-time,NaN,NaN,NaN,NaN,NaN
233868,Adaptation, Fantasy, Fighting, Adult, Miniatures, Sci_Fi
257614,card,NaN,NaN,NaN,NaN,NaN
239472,Horror, Adaptation, Sci_Fi,NaN,NaN,NaN
174524,American West,NaN,NaN,NaN,NaN,NaN
216403,strategy,NaN,NaN,NaN,NaN,NaN
8172,Bluffing, card, Deduction, Party Game,NaN,NaN
759,War, War,NaN,NaN,NaN,NaN
118610,Exploration, Transportation,NaN,NaN,NaN,NaN
130060,Bluffing, card, City Building, Fantasy, Medieval,NaN
148261,Civilization, Exploration, War,NaN,NaN,NaN
244513,Dexterity, Animals, Childrens Game,NaN,NaN,NaN
6866,card,NaN,NaN,NaN,NaN,NaN
124839,Dice, Fighting,NaN,NaN,NaN,NaN
205498,Economic, Medieval,NaN,NaN,NaN,NaN
16,Economic,NaN,NaN,NaN,NaN,NaN
207016,Dexterity,NaN,NaN,NaN,NaN,NaN
38548,Racing, Sports,NaN,NaN,NaN,NaN
224904,card, Environmental,NaN,NaN,NaN,NaN
287,strategy, Puzzle,NaN,NaN,NaN,NaN
229218,Civilization, Negotiation, Adaptation,NaN,NaN,NaN
18460,War, War,NaN,NaN,NaN,NaN
200058,Fantasy, Farming,NaN,NaN,NaN,NaN
228328,Civilization, Medieval, Miniatures, Territory Building,NaN,NaN
84465,War, War,NaN,NaN,NaN,NaN
251420,Book, card, Adaptation,NaN,NaN,NaN
234621,card,NaN,NaN,NaN,NaN,NaN
140951,card, Fantasy,NaN,NaN,NaN,NaN
6050,Adventure, Ancient, Fighting, Post-War, Sci_Fi,NaN
19301,Ancient, Civilization,NaN,NaN,NaN,NaN
192638,card, Sci_Fi,NaN,NaN,NaN,NaN
234948,Civilization, Exploration, Prehistoric,NaN,NaN,NaN
135243,Animals, Prehistoric, Territory Building,NaN,NaN,NaN
18985,Ancient, card, Fantasy, Fighting, War,NaN
14808,Adaptation, Fighting, Miniatures,NaN,NaN,NaN
236217,Bluffing, card, Party Game, secret_agent,NaN,NaN
230769,Adaptation, Sci_Fi,NaN,NaN,NaN,NaN
1116,card,NaN,NaN,NaN,NaN,NaN
63091,Fighting, Miniatures, Sci_Fi,NaN,NaN,NaN
96792,Humor, Medieval, Religious,NaN,NaN,NaN
1425,War, War,NaN,NaN,NaN,NaN
246684,Economic, industry_manuf,NaN,NaN,NaN,NaN
160958,card, Adaptation,NaN,NaN,NaN,NaN
1037,American West, card, City Building, Collectible, Fantasy, Fighting
34373,strategy, Bluffing, card,NaN,NaN,NaN
154875,War, War, War,NaN,NaN,NaN
43307,Economic, Trains, Transportation,NaN,NaN,NaN
692,Fantasy, War,NaN,NaN,NaN,NaN
163930,Deduction,NaN,NaN,NaN,NaN,NaN
20545,Dice,NaN,NaN,NaN,NaN,NaN
99875,Dice, Humor, Party Game, Sci_Fi,NaN,NaN
264052,Dice, Sci_Fi, Space Exploration,NaN,NaN,NaN
167763,card, Adaptation,NaN,NaN,NaN,NaN
119866,Aviation, card, Miniatures, War, War,NaN
200847,Bluffing, card, Deduction, Party Game, secret_agent,NaN
2516,Fantasy, Miniatures, War, War,NaN,NaN
239840,Animals, Territory Building,NaN,NaN,NaN,NaN
433,Economic,NaN,NaN,NaN,NaN,NaN
233676,Economic, Fantasy, industry_manuf,NaN,NaN,NaN
94389,card, Fantasy,NaN,NaN,NaN,NaN
23604,Sports,NaN,NaN,NaN,NaN,NaN
