objectid,cat1,cat2,cat3,cat3,cat4,cat5
103343,Bluffing, Fantasy, Negotiation, Adaptation, Political, War
155426,Post-War, Puzzle,NaN,NaN,NaN,NaN
128882,Bluffing, card, Deduction, Fantasy, Medieval, Negotiation
14996,Trains,NaN,NaN,NaN,NaN,NaN
233371,Sci_Fi,NaN,NaN,NaN,NaN,NaN
43111,Fantasy, Fighting, Horror, Mythology, War,NaN
225694,Deduction, Party Game, Word Game,NaN,NaN,NaN
17133,Trains, Transportation, Adaptation,NaN,NaN,NaN
239188,Adventure, Deduction, murder_mystery,NaN,NaN,NaN
70149,City Building, Economic, industry_manuf, Medieval, Religious, Territory Building
14105,Ancient, War,NaN,NaN,NaN,NaN
221194,Economic, Sci_Fi,NaN,NaN,NaN,NaN
233398,Exploration, War, Renaissance,NaN,NaN,NaN
123260,City Building, Economic,NaN,NaN,NaN,NaN
77423,Adventure, card, Fantasy, Adaptation,NaN,NaN
194655,strategy, Ancient, Mythology,NaN,NaN,NaN
54043,Animals, card,NaN,NaN,NaN,NaN
43015,Medieval,NaN,NaN,NaN,NaN,NaN
126042,card, Civilization, Economic,NaN,NaN,NaN
4098,Economic, Trains, Transportation,NaN,NaN,NaN
175640,Economic, industry_manuf,NaN,NaN,NaN,NaN
10630,Miniatures, War, War,NaN,NaN,NaN
91,War, War,NaN,NaN,NaN,NaN
233867,City Building,NaN,NaN,NaN,NaN,NaN
224037,card, Deduction, secret_agent, Word Game,NaN,NaN
39463,Bluffing, Negotiation, Sci_Fi, Space Exploration,NaN,NaN
171131,Deduction, Fighting, War, Real-time,NaN,NaN
155068,Adventure, Fantasy, Fighting, Miniatures,NaN,NaN
21050,War, War,NaN,NaN,NaN,NaN
195421,Adventure, Exploration,NaN,NaN,NaN,NaN
163068,Post-War,NaN,NaN,NaN,NaN,NaN
104006,Farming, Medieval,NaN,NaN,NaN,NaN
118048,card,NaN,NaN,NaN,NaN,NaN
269385,Adventure, Fantasy, Fighting, Adaptation,NaN,NaN
188920,Adventure, Exploration, Adult, War, Adaptation,NaN
31627,Trains,NaN,NaN,NaN,NaN,NaN
199561,Dice, Puzzle,NaN,NaN,NaN,NaN
82222,Adventure, Exploration, Fighting, Sci_Fi, Space Exploration, Transportation
25021,War, War, War,NaN,NaN,NaN
244522,Dice,NaN,NaN,NaN,NaN,NaN
148228,card, Economic, Renaissance,NaN,NaN,NaN
9216,Economic, Farming, War, Renaissance,NaN,NaN
215,card,NaN,NaN,NaN,NaN,NaN
223321,Deduction, murder_mystery,NaN,NaN,NaN,NaN
129437,card, Adaptation,NaN,NaN,NaN,NaN
146886,Economic, Farming,NaN,NaN,NaN,NaN
176189,Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures
463,card, Collectible, Fantasy, Fighting,NaN,NaN
188,strategy,NaN,NaN,NaN,NaN,NaN
555,City Building, Renaissance,NaN,NaN,NaN,NaN
27833,Economic, Trains, Transportation,NaN,NaN,NaN
9209,Trains,NaN,NaN,NaN,NaN,NaN
128621,Economic, Farming,NaN,NaN,NaN,NaN
182631,card, Fighting, Sci_Fi,NaN,NaN,NaN
12,Ancient, Mythology,NaN,NaN,NaN,NaN
54998,Ancient, City Building, Civilization, Fighting, Miniatures, Mythology
822,City Building, Medieval, Territory Building,NaN,NaN,NaN
109276,Economic, industry_manuf,NaN,NaN,NaN,NaN
20551,Economic, Medieval, Territory Building,NaN,NaN,NaN
31481,Real-time, Sci_Fi, Space Exploration, Transportation,NaN,NaN
245638,Dice, Renaissance,NaN,NaN,NaN,NaN
220877,Dice, Economic, Territory Building,NaN,NaN,NaN
7854,strategy,NaN,NaN,NaN,NaN,NaN
192291,card, Party Game,NaN,NaN,NaN,NaN
285774,card, Adaptation,NaN,NaN,NaN,NaN
421,Economic, Trains, Transportation,NaN,NaN,NaN
156129,Bluffing, Deduction, murder_mystery, Party Game,NaN,NaN
176494,Economic, Territory Building,NaN,NaN,NaN,NaN
155873,Economic, industry_manuf,NaN,NaN,NaN,NaN
140620,American West, Racing,NaN,NaN,NaN,NaN
154203,Ancient, card, City Building, Civilization,NaN,NaN
188834,Bluffing, card, Deduction, Humor, Party Game, Political
19857,Ancient, card, City Building, Economic,NaN,NaN
24181,Economic, War, Political,NaN,NaN,NaN
198994,card, Fantasy, Fighting,NaN,NaN,NaN
97207,Animals, Fantasy, Humor,NaN,NaN,NaN
127060,Dice,NaN,NaN,NaN,NaN,NaN
218417,card, Fantasy, Sci_Fi,NaN,NaN,NaN
27708,Political,NaN,NaN,NaN,NaN,NaN
22545,Civilization, Exploration, Renaissance, Adaptation,NaN,NaN
108745,card, Dice, Fantasy,NaN,NaN,NaN
38453,Electronic, Real-time, Sci_Fi, Space Exploration,NaN,NaN
203420,Deduction, Puzzle, Real-time,NaN,NaN,NaN
193037,Bluffing, Deduction, Horror, Adult, Sci_Fi, Zombies
92828,card, Humor, Party Game,NaN,NaN,NaN
93260,card, Fantasy, Fighting,NaN,NaN,NaN
234,Ancient, Political, War,NaN,NaN,NaN
59294,Adventure, Fantasy, Fighting, War,NaN,NaN
199478,Racing, Sports,NaN,NaN,NaN,NaN
146439,Fantasy, Miniatures, War,NaN,NaN,NaN
3,strategy, Medieval,NaN,NaN,NaN,NaN
66589,Economic, Exploration, War, Renaissance,NaN,NaN
181279,Adventure, Deduction, Fighting, Horror, Adaptation,NaN
48726,Dice, Sci_Fi,NaN,NaN,NaN,NaN
101721,card, Fantasy, Fighting,NaN,NaN,NaN
19777,Economic, industry_manuf, Transportation,NaN,NaN,NaN
189932,Fantasy,NaN,NaN,NaN,NaN,NaN
222509,Ancient, Civilization, Mythology, Sci_Fi, Territory Building,NaN
