objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
112991,Munchkin Conan,2012,4959,3,6,90,90,1,355,Dice Rolling, Hand Management, Take That, Variable Player Powers,NaN,NaN
156372,Heart of Crown  Fairy Garden,2013,4960,2,4,45,45,7,96,Card Drafting, Deck, Hand Management, Variable Player Powers,NaN,NaN
5699,Afrika  The Northern African Campaign,1993,4961,2,2,180,720,6,221,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
197455,Dice Heist,2016,4962,2,5,20,20,4,387,Dice Rolling, Set Collection,NaN,NaN,NaN,NaN
169530,Resistor_,2015,4963,2,2,20,20,6,329,Memory, Modular Board, Network and Route Building,NaN,NaN,NaN
217553,Go Go Gelato!,2017,4964,2,4,15,15,7,318,Pattern Building,NaN,NaN,NaN,NaN,NaN
125658,Level 7 [Escape],2012,4965,1,4,45,45,18,819,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
40243,Campaign Commander Volume I  Roads to Stalingrad,2009,4966,2,2,180,180,7,129,Area Movement, Area-Impulse, Dice Rolling, Simultaneous Action Selection,NaN,NaN
4346,Cedar Mountain  Prelude to Bull Run,1981,4967,2,2,360,360,4,185,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
37906,Firestorm Armada,2009,4968,2,4,90,90,7,164,Action Points, Dice Rolling,NaN,NaN,NaN,NaN
139572,Karesansui,2013,4969,3,6,45,60,5,281,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
27940,RattleSnake,2007,4970,2,4,15,15,23,1280,Dice Rolling,NaN,NaN,NaN,NaN,NaN
249670,Fae,2018,4971,2,4,30,30,3,245,Area Majority / Influence, Enclosure,NaN,NaN,NaN,NaN
42651,Airborne in my Pocket,2009,4972,1,2,15,15,8,190,Cooperative Game, Tile Placement,NaN,NaN,NaN,NaN
71272,Hornet,2010,4973,2,5,45,45,16,518,Area Majority / Influence, Modular Board, Simultaneous Action Selection, Take That,NaN,NaN
170202,Floating Market,2015,4974,2,5,30,45,7,415,Betting and Bluffing, Dice Rolling, Worker Placement,NaN,NaN,NaN
40491,Verflixxt! kompakt,2009,4975,2,4,20,20,4,282,Dice Rolling, Roll / Spin and Move,NaN,NaN,NaN,NaN
145205,L'A\u00e9ropostale,2013,4976,2,5,70,70,2,176,Area Majority / Influence, Network and Route Building, Pick-up and Deliver,NaN,NaN,NaN
207568,Baptism By Fire  The Battle of Kasserine,2017,4977,1,2,240,720,4,117,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
6226,Eastern Front Tank Leader,1986,4978,2,2,90,90,4,204,Campaign / Battle Card Driven, Hexagon Grid,NaN,NaN,NaN,NaN
228553,Catacombs Conquest,2018,4979,2,4,15,30,2,161,Hand Management, Team-Based Game,NaN,NaN,NaN,NaN
110868,Locke & Key  The Game,2012,4980,3,6,30,30,8,391,Hand Management,NaN,NaN,NaN,NaN,NaN
12134,This Hallowed Ground,1998,4981,2,6,360,360,4,116,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
18946,Just Desserts,2015,4982,2,5,25,25,6,586,Set Collection,NaN,NaN,NaN,NaN,NaN
200280,Dragon Brew,2017,4983,2,4,60,120,5,151,Card Drafting, Variable Player Powers,NaN,NaN,NaN,NaN
46422,Nostra City,2009,4984,3,5,60,60,13,376,Auction/Bidding, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
12899,La Bataille de Preussisch-Eylau,1978,4985,1,2,360,360,1,131,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
159446,Panthalos,2014,4986,2,5,60,90,7,188,Worker Placement,NaN,NaN,NaN,NaN,NaN
108377,Space Station,2011,4987,2,6,60,60,9,279,Hand Management, Pattern Building, Worker Placement,NaN,NaN,NaN
209289,The Treasure of Isla Tortuga,2016,4988,2,5,15,20,3,209,Push Your Luck,NaN,NaN,NaN,NaN,NaN
229315,Escape Room  The Game \u2013 Virtual Reality,2017,4989,3,5,60,60,2,167,Cooperative Game,NaN,NaN,NaN,NaN,NaN
257321,Gen7  A Crossroads Game,2018,4990,3,4,60,90,4,285,Card Drafting, Dice Rolling, Modular Board, Team-Based Game, Variable Player Powers, Voting
4667,Eagles  Waterloo,1995,4991,2,2,120,120,3,264,Secret Unit Deployment,NaN,NaN,NaN,NaN,NaN
108637,Wilderness,2011,4992,2,8,60,60,8,321,Action Points, Area Movement, Dice Rolling, Hand Management, Modular Board,NaN
158237,1914  Glory's End \/ When Eagles Fight,2014,4993,2,2,180,240,6,141,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
7138,The Killing Ground,2002,4994,2,4,300,300,3,113,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
157653,Illusions of Glory,2017,4995,2,4,360,360,6,161,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation,NaN,NaN
114684,Villages,2011,4996,2,6,30,30,3,319,Dice Rolling, Hand Management, Set Collection, Variable Player Powers,NaN,NaN
76883,Khan,2010,4997,2,4,60,60,3,336,Area Majority / Influence, Grid Movement, Hand Management,NaN,NaN,NaN
38778,Heads of State,2008,4998,2,5,90,120,23,581,Area Majority / Influence, Card Drafting, Hand Management, Set Collection,NaN,NaN
2860,Piecepack,2001,4999,0,0,10,10,3,169,Book, Game System,NaN,NaN,NaN,NaN
236304,Cerebria  The Card Game,2018,5000,2,5,15,30,4,288,Card Drafting, Hand Management, Set Collection, Take That,NaN,NaN
285157,Legendary  A James Bond Deck Building Game,2019,5001,1,5,45,45,3,113,Cooperative Game, Deck,NaN,NaN,NaN,NaN
231618,Deck Box Dungeons,2018,5002,1,4,20,60,5,206,Action Points, Area Movement, Cooperative Game, Dice Rolling, Modular Board, Role Playing
490,Warangel,2000,5003,2,6,60,60,10,252,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
206471,Eternity,2016,5004,3,5,20,40,10,230,Trick-taking,NaN,NaN,NaN,NaN,NaN
11582,Schnapsen,1715,5005,2,2,20,20,11,197,Memory, Trick-taking,NaN,NaN,NaN,NaN
174260,Waste Knights,2015,5006,2,4,90,240,5,242,Card Drafting, Dice Rolling, Modular Board, Role Playing, Variable Player Powers,NaN
197101,Of Dreams & Shadows,2016,5007,2,6,120,180,10,211,Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing,NaN,NaN
121993,We Will Wok You,2012,5008,2,4,30,40,6,359,Hand Management, Set Collection,NaN,NaN,NaN,NaN
1098,Judge Dredd,1982,5009,2,6,90,90,3,474,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
160908,Plus Ultra  The Court of the Emperor Charles V,2016,5010,2,4,60,90,16,158,Area Majority / Influence, Card Drafting, Pick-up and Deliver,NaN,NaN,NaN
12071,Second Season Pro Football Game,1999,5011,1,2,120,180,5,124,Simulation,NaN,NaN,NaN,NaN,NaN
223950,Fantasy Defense,2017,5012,1,2,15,20,9,231,Cooperative Game, Hand Management, Trading, Variable Player Powers,NaN,NaN
185381,Exceed  Red Horizon \u2013 Alice,2016,5013,2,2,10,20,2,110,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
195484,Ominoes,2016,5014,2,4,15,15,5,227,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
158973,Albion's Legacy,2015,5015,1,6,90,90,12,262,Cooperative Game, Dice Rolling, Modular Board, Tile Placement, Variable Player Powers,NaN
180193,Expo 1906,2015,5016,1,4,60,90,9,190,Action Queue, Tile Placement,NaN,NaN,NaN,NaN
170223,Centauri Saga v1.5,2016,5017,1,4,60,90,14,264,Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board,NaN
157322,S\u00f6rmesterek,2014,5018,2,4,45,45,9,556,Card Drafting, Dice Rolling, Set Collection, Worker Placement,NaN,NaN
255594,ShipShape,2019,5019,2,6,20,50,3,164,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
206169,Slide Blast,2016,5020,2,6,10,20,4,208,Hand Management, Tile Placement,NaN,NaN,NaN,NaN
228183,Star Scrappers  Cave-in,2018,5021,2,4,45,75,4,193,Card Drafting, Deck, Hand Management, Modular Board, Set Collection, Take That
35477,Dead of Winter (second edition),2009,5022,2,2,180,180,2,145,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
193551,Mutant Crops,2016,5023,1,4,15,30,11,170,Worker Placement,NaN,NaN,NaN,NaN,NaN
211454,VOLT,2018,5024,2,4,30,45,4,172,Action Queue, Grid Movement, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
154479,Pi\u00f1a Pirata,2014,5025,2,6,30,30,13,676,Hand Management,NaN,NaN,NaN,NaN,NaN
3226,Bowl Bound,1973,5026,1,4,60,60,5,203,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
67148,Ultimate Werewolf  Compact Edition,2010,5027,5,34,45,45,0,213,Role Playing, Team-Based Game, Traitor Game, Variable Player Powers, Voting,NaN
42731,Lock 'n Load  Heroes of the Gap,2011,5028,2,2,90,90,5,119,Hexagon Grid, Modular Board,NaN,NaN,NaN,NaN
4454,Statis Pro Football,1973,5029,1,2,120,120,9,370,Sports,NaN,NaN,NaN,NaN,NaN
128174,Dragon Farkle,2015,5030,2,5,30,30,4,387,Card Drafting, Dice Rolling, Hand Management, Push Your Luck, Take That, Variable Player Powers
244171,Sherlock Holmes  Four Investigations,2014,5031,1,1,60,60,4,166,Book, Comic Book / Strip, Murder/Mystery, Novel-based,NaN,NaN
17536,Lobositz  First Battle of the Seven Years War,2005,5032,1,2,360,360,0,120,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
66076,Industry,2010,5033,3,4,75,75,3,349,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
6607,Munchkin Fu  Guest Artist Edition,2003,5034,3,6,90,90,13,2214,Dice Rolling, Trading, Variable Player Powers,NaN,NaN,NaN
102690,Villagers & Villains,2011,5035,2,5,30,30,3,244,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers,NaN,NaN
156482,Unknown,2016,5036,1,6,45,45,14,171,Action Points, Cooperative Game, Modular Board, Tile Placement, Variable Player Powers,NaN
142556,Rory's Story Cubes  Poszlaki,2013,5037,1,12,15,15,0,246,Cooperative Game, Dice Rolling, Pattern Recognition, Storytelling,NaN,NaN
156007,Mound Builders,2014,5038,1,1,60,60,3,149,Area Movement, Campaign / Battle Card Driven, Dice Rolling,NaN,NaN,NaN
11886,Texas Glory  1835-36,2008,5039,2,2,120,120,3,174,Dice Rolling, Secret Unit Deployment,NaN,NaN,NaN,NaN
162315,Mouse Guard  Swords & Strongholds,2015,5040,2,2,15,30,2,197,Grid Movement,NaN,NaN,NaN,NaN,NaN
1509,Dogfight,1962,5041,2,4,45,45,4,413,Hand Management, Roll / Spin and Move,NaN,NaN,NaN,NaN
38980,Mecanisburgo,2008,5042,2,6,120,120,12,283,Area Majority / Influence, Card Drafting, Secret Unit Deployment, Worker Placement,NaN,NaN
191475,Wizard  Jubil\u00e4umsedition,2016,5043,3,6,45,45,3,123,Hand Management, Trick-taking,NaN,NaN,NaN,NaN
159355,Colors of Kasane,2014,5044,3,4,25,25,6,166,Hand Management, Pattern Building, Set Collection,NaN,NaN,NaN
41875,Trader,2009,5045,2,4,15,15,9,249,Card Drafting, Hand Management, Team-Based Game,NaN,NaN,NaN
199881,Space Cantina,2016,5046,1,4,60,90,4,149,Card Drafting, Dice Rolling, Worker Placement,NaN,NaN,NaN
43249,The BoardGameGeek Game,2009,5047,3,6,60,60,18,593,Dice Rolling, Set Collection, Tile Placement,NaN,NaN,NaN
244994,W\u00fcrfelland,2018,5048,2,4,20,20,4,299,Dice Rolling,NaN,NaN,NaN,NaN,NaN
205831,Dreams,2016,5049,3,6,30,30,6,345,Cooperative Game, Pattern Building, Pattern Recognition, Targeted Clues, Voting,NaN
2254,Title Bout,1979,5050,1,2,45,45,5,274,Area Movement, Simulation, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
88871,Roads to Moscow  Battles of Mozhaysk and Mtsensk,2013,5051,2,2,180,180,3,131,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
121958,Sky Traders,2012,5052,2,5,180,180,15,630,Area Movement, Commodity Speculation, Dice Rolling, Modular Board, Pick-up and Deliver,NaN
279307,1942 USS Yorktown,2019,5053,1,4,30,45,7,145,Cooperative Game, Dice Rolling, Elapsed Real Time Ending, Real-Time,NaN,NaN
204879,Planet Defenders,2016,5054,2,4,30,60,4,233,Card Drafting, Dice Rolling, Grid Movement, Set Collection,NaN,NaN
137872,EONS,2013,5055,2,5,90,90,6,228,Commodity Speculation, Deck, Hand Management,NaN,NaN,NaN
155495,KUNE v LAKIA  A Chronicle Of A Royal Lapine Divorce Foretold,2015,5056,2,2,15,30,2,243,Campaign / Battle Card Driven, Card Drafting, Deck, Hand Management,NaN,NaN
203191,The Stonebound Saga,2018,5057,2,6,45,60,7,163,Deck, Dice Rolling, Grid Movement, Hand Management, Tile Placement,NaN
113931,Rock'n Roll Manager,2016,5058,2,5,90,90,3,140,Set Collection, Worker Placement,NaN,NaN,NaN,NaN
195981,BEEEEES!,2017,5059,2,5,30,30,5,210,Dice Rolling, Tile Placement,NaN,NaN,NaN,NaN
138614,Relic Expedition,2014,5060,2,4,30,60,8,239,Action Points, Hand Management, Modular Board, Set Collection, Take That,NaN
255175,Mutants,2019,5061,1,4,45,60,5,140,Deck, Hand Management, Variable Player Powers,NaN,NaN,NaN
267568,HexRoller,2019,5062,1,8,10,15,12,369,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
10623,Gringo!,2004,5063,1,6,180,180,5,157,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
128938,Pack of Heroes,2014,5064,2,2,20,20,6,308,Card Drafting, Hand Management, Variable Player Powers,NaN,NaN,NaN
473,Ol\u00e9!,1996,5065,3,8,30,30,4,241,Hand Management,NaN,NaN,NaN,NaN,NaN
1533,Ghost Chase in Canterville Castle,2001,5066,2,5,60,60,5,407,Secret Unit Deployment, Team-Based Game,NaN,NaN,NaN,NaN
237174,So Long,2018,5067,1,5,30,40,10,201,Card Drafting, Hand Management, Simultaneous Action Selection,NaN,NaN,NaN
158915,GEM,2015,5068,2,4,15,15,4,320,Auction/Bidding, Hand Management, Set Collection,NaN,NaN,NaN
150294,COGZ,2015,5069,2,6,30,30,6,177,Hand Management, Memory, Modular Board, Pattern Building, Pattern Recognition, Tile Placement
312,Landlord!,1992,5070,2,6,10,10,8,930,Hand Management, Take That,NaN,NaN,NaN,NaN
66125,Le Donjon de Naheulbeuk,2010,5071,3,6,60,60,6,260,Cooperative Game, Variable Player Powers,NaN,NaN,NaN,NaN
232980,Dream On!,2017,5072,2,8,15,20,1,221,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
206266,Vikingar  The Conquest of Worlds,2017,5073,2,6,60,150,7,233,Modular Board, Tile Placement, Variable Phase Order,NaN,NaN,NaN
7263,Solitaire Frenzy,1930,5074,2,6,60,60,6,330,Set Collection,NaN,NaN,NaN,NaN,NaN
7824,Break the Safe,2003,5075,2,4,30,30,13,684,Cooperative Game, Elapsed Real Time Ending, Roll / Spin and Move,NaN,NaN,NaN
4884,The Legend Begins \u2010 The Afrika Korps 1941,1991,5076,2,2,240,240,2,123,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
269041,Calavera,2019,5077,2,4,20,20,7,197,Dice Rolling, Paper-and-Pencil, Push Your Luck,NaN,NaN,NaN
220738,Topito,2017,5078,2,4,15,15,6,246,Pattern Building,NaN,NaN,NaN,NaN,NaN
56294,Jungle Speed  Rabbids,2008,5079,2,10,15,15,3,285,Pattern Recognition,NaN,NaN,NaN,NaN,NaN
235017,Santa's Workshop,2017,5080,2,5,45,60,6,145,Worker Placement,NaN,NaN,NaN,NaN,NaN
37257,The Uncharted Seas,2008,5081,2,4,90,90,6,161,Critical Hits and Failures, Dice Rolling, Hand Management, Simulation, Variable Player Powers,NaN
2536,Vabanque,2001,5082,3,6,30,30,4,492,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
104805,Tier auf Tier  Klein,2011,5083,2,2,15,15,5,385,Dice Rolling,NaN,NaN,NaN,NaN,NaN
156786,Munchkin Panic,2014,5084,1,6,45,60,9,633,Cooperative Game, Hand Management,NaN,NaN,NaN,NaN
19727,The Great Space Race,2006,5085,3,6,120,180,4,312,Action Queue, Simultaneous Action Selection, Variable Player Powers,NaN,NaN,NaN
5251,Inside Moves,1930,5086,2,2,15,15,6,265,Grid Movement,NaN,NaN,NaN,NaN,NaN
86167,El Alamein,2010,5087,2,5,60,60,4,186,Card Drafting, Deck, Hand Management,NaN,NaN,NaN
29017,Le tr\u00e9sor des mayas,2006,5088,2,4,15,15,4,210,Memory, Pattern Recognition,NaN,NaN,NaN,NaN
13597,Big Two,0,5089,2,4,30,30,12,246,Hand Management,NaN,NaN,NaN,NaN,NaN
23928,Glory III,2007,5090,1,2,240,240,6,206,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
191790,Empires in America (second edition),2016,5091,1,1,50,50,2,134,Action Points, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN
3711,Flight Leader,1986,5092,2,8,30,180,6,575,Dice Rolling, Hexagon Grid, Simulation, Variable Phase Order,NaN,NaN
38805,Rebel Raiders on the High Seas,2013,5093,2,2,360,360,4,160,Point to Point Movement,NaN,NaN,NaN,NaN,NaN
158970,Nautilus Industries,2015,5094,2,6,60,60,5,211,Commodity Speculation, Modular Board, Stock Holding,NaN,NaN,NaN
137406,Templar  The Secret Treasures,2013,5095,2,5,60,60,3,329,Area Movement,NaN,NaN,NaN,NaN,NaN
230765,Side Effects,2017,5096,2,8,10,30,7,211,Take That,NaN,NaN,NaN,NaN,NaN
212370,Omen  Edge of the Aegean,2016,5097,2,2,20,30,1,124,Area Majority / Influence, Hand Management, Variable Player Powers,NaN,NaN,NaN
271615,The Quest for El Dorado  The Golden Temples,2019,5098,2,4,30,60,3,105,Card Drafting, Deck, Grid Movement, Hand Management, Modular Board,NaN
26458,Chandragupta  Great Battles of the Mauryan Empire \u2013 India,2008,5099,2,2,240,240,4,119,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
192906,Heir to the Pharaoh,2016,5100,2,2,45,60,3,161,Area Majority / Influence, Auction/Bidding, Hand Management, Network and Route Building, Set Collection, Tile Placement
241334,Dwar7s Winter,2018,5101,1,4,30,45,7,217,Action Points, Area Majority / Influence, Deck, Hand Management,NaN,NaN
202942,Sicily II,2016,5102,1,2,120,3000,1,104,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
4643,Fire and Ice,2002,5103,1,2,30,30,2,205,Pattern Building, Point to Point Movement,NaN,NaN,NaN,NaN
158982,Blue Max  World War I Air Combat,2013,5104,2,6,90,90,6,284,Grid Movement, Hexagon Grid, Simultaneous Action Selection,NaN,NaN,NaN
197269,Guns & Steel  Renaissance,2016,5105,2,4,40,70,2,159,Deck, Hand Management, Take That,NaN,NaN,NaN
12131,Texas 42,1885,5106,4,4,30,30,8,165,Auction/Bidding, Team-Based Game, Trick-taking,NaN,NaN,NaN
11122,Proud Monster  The Barbarossa Campaign,1994,5107,2,2,660,660,1,148,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
208808,OK Play,2016,5108,2,4,5,15,2,247,Tile Placement,NaN,NaN,NaN,NaN,NaN
33785,Panzer Grenadier  Elsenborn Ridge,2008,5109,2,2,60,60,10,123,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
12318,Typo,2004,5110,2,6,30,30,6,431,Pattern Building, Simultaneous Action Selection,NaN,NaN,NaN,NaN
165404,Dragonscroll,2014,5111,2,4,60,60,4,264,Hand Management, Pick-up and Deliver, Set Collection, Tile Placement,NaN,NaN
197790,Vinyl,2019,5112,2,4,45,75,6,134,Hand Management, Set Collection,NaN,NaN,NaN,NaN
22479,HorrorClix,2006,5113,2,0,60,60,13,387,Action Points, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
17922,Anno Domini  Deutschland,2002,5114,2,8,30,30,4,222,Card Drafting,NaN,NaN,NaN,NaN,NaN
153480,Scharfe Schoten,2014,5115,3,4,30,30,2,220,Trick-taking,NaN,NaN,NaN,NaN,NaN
216497,Throne and the Grail,2016,5116,2,2,10,20,1,138,Hand Management, Set Collection,NaN,NaN,NaN,NaN
2665,Russian Civil War 1918-1922 (first edition),1976,5117,1,6,120,120,6,182,Area Movement, Variable Player Powers,NaN,NaN,NaN,NaN
163047,Yomi  Round 1,2014,5118,1,4,15,30,2,139,Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
12188,The Garden Competition,2004,5119,3,5,60,60,10,192,Modular Board, Simulation, Tile Placement,NaN,NaN,NaN
4275,Pea Ridge  The Gettysburg of the West March 7-8 1862,1980,5120,1,2,240,240,0,153,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
201478,Problem Picnic  Attack of the Ants,2017,5121,2,4,20,30,2,176,Area Majority / Influence, Dice Rolling, Set Collection, Take That,NaN,NaN
252985,Legendary  A Marvel Deck Building Game \u2013 Marvel Studios,2018,5122,1,5,45,60,3,190,Cooperative Game, Deck,NaN,NaN,NaN,NaN
828,Wizards,1982,5123,1,6,120,240,7,364,Cooperative Game, Modular Board, Pick-up and Deliver, Variable Player Powers,NaN,NaN
222531,ELO Darkness,2018,5124,1,4,45,75,11,128,Card Drafting, Hand Management, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
199309,Pathogenesis,2017,5125,1,4,30,60,3,192,Card Drafting, Cooperative Game, Deck,NaN,NaN,NaN
224403,Carthage,2018,5126,1,5,30,75,4,172,Cooperative Game, Deck, Hand Management, Player Elimination, Take That, Variable Player Powers
230273,Ascension  Valley of the Ancients,2017,5127,1,4,30,30,3,142,Deck,NaN,NaN,NaN,NaN,NaN
165347,Mint Tin Aliens,2014,5128,2,2,5,5,2,201,Card Drafting,NaN,NaN,NaN,NaN,NaN
161761,King's Gold,2014,5129,2,6,15,15,6,421,Dice Rolling,NaN,NaN,NaN,NaN,NaN
244320,SOS Dino,2018,5130,1,4,25,25,3,198,Cooperative Game, Tile Placement,NaN,NaN,NaN,NaN
18931,Emira,2006,5131,3,5,100,100,8,756,Auction/Bidding, Set Collection, Variable Player Powers,NaN,NaN,NaN
147768,\u9ec3\u74dc\u4e94\u5144\u5f1f,2013,5132,2,6,25,25,19,1037,Player Elimination, Trick-taking,NaN,NaN,NaN,NaN
165563,Prohis,2014,5133,3,6,20,20,2,384,Hand Management,NaN,NaN,NaN,NaN,NaN
128011,Extra! Extra!,2015,5134,2,6,60,150,11,218,Auction/Bidding, Set Collection, Tile Placement, Worker Placement,NaN,NaN
226009,Alien vs Predator  The Hunt Begins (Second Edition),2017,5135,1,3,60,120,4,153,Action Points, Area Movement, Dice Rolling, Hand Management, Modular Board, Player Elimination
118293,Mondo Sapiens,2012,5136,1,4,20,30,1,245,Pattern Building, Tile Placement,NaN,NaN,NaN,NaN
352,The Trumpet Game,1990,5137,2,6,45,45,6,527,Trick-taking,NaN,NaN,NaN,NaN,NaN
174298,Napoleon's Last Gamble,2016,5138,2,0,180,1200,3,96,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
228570,Raging Bulls,2017,5139,1,1,20,30,13,179,Dice Rolling, Line Drawing, Paper-and-Pencil, Push Your Luck,NaN,NaN
277,Res Publica,1991,5140,3,5,30,60,17,914,Set Collection, Trading,NaN,NaN,NaN,NaN
274,Guerilla,1994,5141,3,6,60,60,4,368,Hand Management,NaN,NaN,NaN,NaN,NaN
197760,Ghost Blitz  Spooky Doo,2016,5142,2,8,20,20,3,229,Pattern Recognition,NaN,NaN,NaN,NaN,NaN
206448,Noxford,2016,5143,2,4,20,40,7,396,Area Majority / Influence, Hand Management, Tile Placement,NaN,NaN,NaN
280,Neue Spiele im alten Rom,1994,5144,2,7,20,60,3,195,Abstract Strategy, Game System,NaN,NaN,NaN,NaN
1302,Cosmic Wimpout,1975,5145,2,7,20,20,12,1003,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
208428,No Thank You,2016,5146,2,5,30,30,3,127,Role Playing, Storytelling,NaN,NaN,NaN,NaN
39635,Prolix,2010,5147,1,5,30,30,11,276,Word Game,NaN,NaN,NaN,NaN,NaN
35293,Im Reich der W\u00fcstens\u00f6hne,2008,5148,3,4,60,60,7,271,Tile Placement,NaN,NaN,NaN,NaN,NaN
135888,Titanium Wars,2013,5149,3,4,60,90,7,428,Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
240892,8Bit Box,2018,5150,3,6,15,40,5,264,Action Queue, Auction/Bidding, Grid Movement, Simultaneous Action Selection,NaN,NaN
74408,Warhammer  The Island of Blood,2010,5151,2,2,180,360,3,206,Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
20889,Great War at Sea  Jutland,2006,5152,2,2,30,30,7,158,Dice Rolling, Hexagon Grid, Paper-and-Pencil, Secret Unit Deployment,NaN,NaN
96,Broadsides and Boarding Parties,1982,5153,2,2,60,60,2,551,Action Queue, Dice Rolling, Hand Management, Point to Point Movement,NaN,NaN
244258,The Red Dragon Inn 7  The Tavern Crew,2018,5154,2,4,30,60,0,99,Betting and Bluffing, Hand Management, Player Elimination, Variable Player Powers,NaN,NaN
220784,The Legend of the Cherry Tree that Blossoms Every Ten Years,2018,5155,2,4,20,20,4,312,Push Your Luck, Set Collection,NaN,NaN,NaN,NaN
3177,Battle for Armageddon,1992,5156,2,2,120,120,5,278,Area Movement, Dice Rolling, Hexagon Grid, Set Collection,NaN,NaN
257006,Homebrewers,2019,5157,2,5,45,60,3,136,Dice Rolling, Set Collection, Trading,NaN,NaN,NaN
173804,Gruff,2015,5158,2,4,30,30,2,300,Campaign / Battle Card Driven, Variable Player Powers,NaN,NaN,NaN,NaN
62030,R\u00edo de la Plata,2010,5159,2,5,90,90,7,295,Area Majority / Influence, Auction/Bidding, Dice Rolling, Team-Based Game, Tile Placement, Worker Placement
254017,Lindisfarne,2018,5160,2,4,30,45,4,171,Card Drafting, Dice Rolling, Set Collection,NaN,NaN,NaN
174093,Maze Racers,2015,5161,2,4,20,20,2,264,Abstract Strategy, Action / Dexterity, Maze,NaN,NaN,NaN
574,Formel Fun,1991,5162,3,6,30,30,5,298,Hand Management,NaN,NaN,NaN,NaN,NaN
219475,Axio,2017,5163,1,4,30,45,4,205,Hand Management, Highest-Lowest Scoring, Pattern Building, Tile Placement,NaN,NaN
4642,Sports Illustrated Baseball,1972,5164,1,2,45,45,5,180,Dice Rolling,NaN,NaN,NaN,NaN,NaN
31853,Black Box +,2007,5165,2,2,15,15,5,132,Hexagon Grid, Square Grid,NaN,NaN,NaN,NaN
99078,Divided Republic,2012,5166,2,4,180,180,11,217,Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simulation, Variable Player Powers
5772,What's It To Ya?,2003,5167,3,8,20,20,11,248,Team-Based Game, Voting,NaN,NaN,NaN,NaN
210,Don Pepe,1999,5168,3,6,30,30,5,429,Card Game, Mafia,NaN,NaN,NaN,NaN
15167,King Arthur  The Card Game,2005,5169,2,5,30,30,9,505,Hand Management, Set Collection,NaN,NaN,NaN,NaN
2252,King of the Tabletop,1983,5170,2,4,180,180,5,200,Area Majority / Influence, Secret Unit Deployment,NaN,NaN,NaN,NaN
79282,Era of Inventions,2010,5171,3,5,90,90,29,552,Worker Placement,NaN,NaN,NaN,NaN,NaN
113,Mit List und T\u00fccke,1999,5172,4,6,60,60,3,227,Trick-taking,NaN,NaN,NaN,NaN,NaN
