objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
119506,Freedom  The Underground Railroad,2012,1,4,60,120
147949,One Night Ultimate Werewolf,2014,3,10,10,10
127398,Legends of Andor,2012,2,4,60,90
43570,Friday,2011,1,1,25,25
133038,Pathfinder Adventure Card Game  Rise of the Runelords \u2013 Base Set,2013,1,4,90,90
47,Chinatown,1999,3,5,60,60
90419,Airlines Europe,2011,2,5,75,75
42052,Vinhos,2010,2,4,60,135
218603,Photosynthesis,2017,2,4,30,60
125618,Libertalia,2012,2,6,40,60
128271,Ginkgopolis,2012,1,5,45,45
15062,Shadows over Camelot,2005,3,7,60,80
156546,Monikers,2015,4,20,60,60
478,Citadels Classic,2000,2,8,20,60
194607,Mystic Vale,2016,2,4,45,45
92415,Skull & Roses Red,2011,3,6,45,45
31999,TZAAR,2007,2,2,30,60
73171,Earth Reborn,2010,2,4,180,180
34119,Tales of the Arabian Nights,2009,1,6,120,120
244711,Newton,2018,1,4,90,90
475,Taj Mahal,2000,3,5,75,100
241451,Aeon's End  Legacy,2019,1,4,45,90
27173,Vikings,2007,2,4,60,60
193042,Junk Art  \u03b7 \u03a4\u03ad\u03c7\u03bd\u03b7 \u03c4\u03b7\u03c2 \u0399\u03c3\u03bf\u03c1\u03c1\u03bf\u03c0\u03af\u03b1\u03c2,2016,2,6,30,30
163968,Elysium,2015,2,4,60,60
191862,Imhotep,2016,2,4,40,40
372,Schotten Totten,1999,2,2,20,20
3685,Hammer of the Scots,2002,2,2,120,180
215311,Downforce,2017,2,6,20,40
9674,Mensa Connections,2004,1,4,45,45
20437,Lords of Vegas,2010,2,4,60,90
192836,The Colonists,2016,1,4,30,360
221965,The Fox in the Forest,2017,2,2,30,30
205359,Star Wars  Destiny,2016,2,2,30,30
169255,A Game of Thrones  The Card Game (Second Edition),2015,2,4,60,120
21790,Thurn and Taxis,2006,2,4,60,60
160010,Conan,2016,2,5,90,90
141572,Paperback,2014,2,5,45,45
276025,Maracaibo,2019,1,4,60,150
22827,StarCraft  The Board Game,2007,2,6,180,240
6472,A Game of Thrones,2003,3,5,180,180
18,RoboRally,1994,2,8,45,120
97842,Last Will,2011,2,5,45,75
155703,Evolution,2014,2,6,60,60
39351,Automobile,2009,3,5,120,120
140603,Francis Drake,2013,3,5,90,120
15363,Nexus Ops,2005,2,4,90,90
257499,Arkham Horror (Third Edition),2018,1,6,120,180
39938,Carson City,2009,2,5,90,90
27746,Colosseum,2007,3,5,60,90
260428,Pandemic  Fall of Rome,2018,1,5,45,60
265736,Tiny Towns,2019,1,6,45,60
31730,Wabash Cannonball,2007,2,6,60,60
2346,DVONN,2001,2,2,30,30
133473,\u05e1\u05d5\u05e9\u05d9 Go!,2013,2,5,15,15
180974,Potion Explosion,2015,2,4,30,45
232043,Queendomino XL,2017,2,4,25,25
181530,Runebound (Third Edition),2015,2,4,120,180
119432,Snowdonia,2012,1,5,30,90
209778,Magic Maze,2017,1,8,15,15
144189,Fire in the Lake,2014,1,4,180,180
144797,Argent  The Consortium,2015,2,5,60,150
17405,1846  The Race for the Midwest,2005,3,5,240,240
236191,London (Second Edition),2017,2,4,60,90
151022,Baseball Highlights  2045,2015,1,4,45,45
11,Bohnanza  Fan Edition,1997,2,7,45,45
159508,AquaSphere,2014,2,4,100,100
12942,No Thanks!,2004,3,7,20,20
42776,Gears of War  The Board Game,2011,1,4,60,180
245934,\u6d3b\u5728\u7576\u4e0b,2018,2,4,45,75
9625,Struggle of Empires  Deluxe Edition,2004,2,7,180,240
113924,Zombicide,2012,1,6,60,60
1513,The Republic of Rome,1990,1,6,300,300
