objectid,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
132497,Pattern Building, Team-Based Game,NaN,NaN,NaN,NaN
255708,Card Drafting, Hand Management, Point to Point Movement, Set Collection,NaN,NaN
174805,Area Movement, Cooperative Game, Grid Movement, Hand Management, Modular Board, Point to Point Movement
191982,Enclosure, Paper-and-Pencil,NaN,NaN,NaN,NaN
4488,Area Majority / Influence, Deck, Hand Management,NaN,NaN,NaN
17923,Card Drafting,NaN,NaN,NaN,NaN,NaN
6353,Area-Impulse,NaN,NaN,NaN,NaN,NaN
137154,Betting and Bluffing, Push Your Luck,NaN,NaN,NaN,NaN
20078,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
276830,Dice Rolling, Push Your Luck, Variable Player Powers,NaN,NaN,NaN
97,Area Movement, Dice Rolling,NaN,NaN,NaN,NaN
4958,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
23995,Campaign / Battle Card Driven, Point to Point Movement,NaN,NaN,NaN,NaN
67919,Hand Management, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
39232,Campaign / Battle Card Driven, Point to Point Movement, Secret Unit Deployment, Time Track,NaN,NaN
184866,Hand Management, Simultaneous Action Selection, Variable Player Powers,NaN,NaN,NaN
99630,Auction/Bidding, Stock Holding, Trading,NaN,NaN,NaN
3061,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
37198,Area Majority / Influence, Area Movement, Dice Rolling, Player Elimination, Set Collection,NaN
193486,Hand Management, Set Collection, Worker Placement,NaN,NaN,NaN
11231,Acting, Memory,NaN,NaN,NaN,NaN
267735,Cooperative Game,NaN,NaN,NaN,NaN,NaN
202,Modular Board, Player Elimination,NaN,NaN,NaN,NaN
163937,Deck, Grid Movement, Variable Player Powers,NaN,NaN,NaN
191877,Dice Rolling, Pick-up and Deliver, Point to Point Movement,NaN,NaN,NaN
274090,Dice Rolling, Paper-and-Pencil, Pattern Building,NaN,NaN,NaN
254513,Set Collection,NaN,NaN,NaN,NaN,NaN
25213,Roll / Spin and Move, Team-Based Game,NaN,NaN,NaN,NaN
274638,Area Movement, Hand Management, Variable Player Powers,NaN,NaN,NaN
168770,Hand Management, Take That, Variable Player Powers,NaN,NaN,NaN
137651,Card Drafting, Hand Management, Worker Placement,NaN,NaN,NaN
37461,Area Majority / Influence, Hand Management, Team-Based Game, Trick-taking,NaN,NaN
137237,Auction/Bidding, Pick-up and Deliver, Time Track, Worker Placement,NaN,NaN
235014,Deck, Hand Management, Tile Placement,NaN,NaN,NaN
150016,Hand Management, Set Collection,NaN,NaN,NaN,NaN
234450,Card Drafting, Deck, Hand Management, Set Collection,NaN,NaN
65936,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
107148,Simulation, Simultaneous Action Selection,NaN,NaN,NaN,NaN
22303,Acting, Memory, Paper-and-Pencil, Team-Based Game,NaN,NaN
147451,Card Drafting, Deck, Hand Management, Modular Board, Secret Unit Deployment,NaN
2448,Mancala,NaN,NaN,NaN,NaN,NaN
4424,Acting, Cooperative Game, Hand Management, Paper-and-Pencil,NaN,NaN
30328,Action / Dexterity, Childrens Game, Fantasy, Fighting, Medieval, Wargame
161926,Hand Management, Memory, Trading,NaN,NaN,NaN
22359,Area-Impulse, Chit-Pull System, Dice Rolling, Point to Point Movement, Secret Unit Deployment, Simulation
17988,Area Majority / Influence,NaN,NaN,NaN,NaN,NaN
1576,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
205185,Modular Board, Network and Route Building, Pattern Building, Set Collection, Tile Placement,NaN
217321,Set Collection,NaN,NaN,NaN,NaN,NaN
194,Dice Rolling, Take That,NaN,NaN,NaN,NaN
132019,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
24770,Card Drafting, Set Collection,NaN,NaN,NaN,NaN
130680,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
258041,Pattern Building,NaN,NaN,NaN,NaN,NaN
872,Tile Placement,NaN,NaN,NaN,NaN,NaN
1379,Grid Movement,NaN,NaN,NaN,NaN,NaN
123536,Hand Management, Team-Based Game,NaN,NaN,NaN,NaN
136356,Auction/Bidding, Memory, Push Your Luck, Take That, Variable Player Powers,NaN
68260,Action Points, Area Movement, Dice Rolling, Secret Unit Deployment,NaN,NaN
140795,Cooperative Game, Hand Management,NaN,NaN,NaN,NaN
181495,Action Queue, Campaign / Battle Card Driven, Dice Rolling, Modular Board, Secret Unit Deployment, Team-Based Game
219217,Action Queue, Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Player Elimination
195242,Action Points, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
173018,Cooperative Game, Dice Rolling, Point to Point Movement, Push Your Luck, Rock-Paper-Scissors, Simultaneous Action Selection
196712,Dice Rolling, Grid Movement, Modular Board, Role Playing, Storytelling, Team-Based Game
38877,Campaign / Battle Card Driven, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
177499,Grid Movement, Hand Management, Rock-Paper-Scissors, Team-Based Game, Variable Player Powers,NaN
156175,Action Points, Action Queue, Variable Player Powers,NaN,NaN,NaN
129165,Action Queue, Simulation, Simultaneous Action Selection,NaN,NaN,NaN
218161,Pattern Recognition, Real-Time, Team-Based Game,NaN,NaN,NaN
257732,Worker Placement,NaN,NaN,NaN,NaN,NaN
144567,Card Drafting, Deck, Grid Movement, Hand Management,NaN,NaN
203270,Deck, Dice Rolling, Grid Movement, Take That,NaN,NaN
232979,Area Movement, Cooperative Game, Worker Placement,NaN,NaN,NaN
27658,Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
621,Auction/Bidding, Team-Based Game,NaN,NaN,NaN,NaN
250779,Communication Limits, Cooperative Game, Hand Management, Memory,NaN,NaN
258104,Grid Movement, Tile Placement,NaN,NaN,NaN,NaN
150761,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
246639,Card Drafting, Tile Placement, Time Track,NaN,NaN,NaN
23053,Commodity Speculation, Enclosure, Hand Management, Network and Route Building,NaN,NaN
176606,Dice Rolling,NaN,NaN,NaN,NaN,NaN
10653,Dice Rolling, Pick-up and Deliver, Point to Point Movement,NaN,NaN,NaN
198110,Communication Limits, Cooperative Game,NaN,NaN,NaN,NaN
234337,Auction/Bidding, Push Your Luck, Set Collection,NaN,NaN,NaN
57073,Hand Management,NaN,NaN,NaN,NaN,NaN
195237,Memory, Take That, Team-Based Game,NaN,NaN,NaN
190247,Action Points, Area Majority / Influence, Cooperative Game, Grid Movement, Modular Board, Point to Point Movement
194723,Cooperative Game, Tile Placement, Time Track,NaN,NaN,NaN
213549,Betting and Bluffing, Card Drafting, Dice Rolling, Set Collection,NaN,NaN
147021,Auction/Bidding, Card Drafting, Set Collection,NaN,NaN,NaN
258413,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
218580,Betting and Bluffing, Card Drafting, Variable Player Powers,NaN,NaN,NaN
1445,Set Collection,NaN,NaN,NaN,NaN,NaN
2125,Enclosure, Grid Movement, Square Grid, Tile Placement,NaN,NaN
67601,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
233956,Card Drafting, Hand Management, Stock Holding,NaN,NaN,NaN
181176,Area Majority / Influence, Dice Rolling, Hand Management, Roll / Spin and Move, Variable Player Powers,NaN
250754,Card Drafting, Set Collection, Trading,NaN,NaN,NaN
118385,Area Movement, Dice Rolling,NaN,NaN,NaN,NaN
166776,Action Points, Cooperative Game, Dice Rolling, Modular Board, Role Playing, Simultaneous Action Selection
259,Trick-taking,NaN,NaN,NaN,NaN,NaN
1413,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
194553,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
748,Network and Route Building, Pattern Building, Tile Placement,NaN,NaN,NaN
83325,Dice Rolling, Grid Movement, Modular Board, Simulation,NaN,NaN
117854,Action Queue, Hexagon Grid,NaN,NaN,NaN,NaN
13530,Memory,NaN,NaN,NaN,NaN,NaN
158544,Area Majority / Influence, Dice Rolling, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
180591,Push Your Luck, Simultaneous Action Selection, Tile Placement,NaN,NaN,NaN
161943,Set Collection, Simultaneous Action Selection, Take That,NaN,NaN,NaN
69234,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
165004,Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Simultaneous Action Selection,NaN,NaN
110102,Area Movement, Chit-Pull System, Simultaneous Action Selection, Variable Phase Order,NaN,NaN
5833,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
17835,Dice Rolling, Finale Ending, Variable Player Powers,NaN,NaN,NaN
202732,Hand Management, Memory, Team-Based Game, Variable Player Powers,NaN,NaN
539,Crayon Rail System, Network and Route Building,NaN,NaN,NaN,NaN
39932,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
188188,Memory, Player Elimination, Take That, Variable Player Powers,NaN,NaN
37672,Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
4921,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
12194,Dice Rolling, Trading, Variable Player Powers,NaN,NaN,NaN
123045,Action Points, Hand Management, Player Elimination, Set Collection, Variable Player Powers,NaN
8273,Enclosure, Hand Management, Point to Point Movement,NaN,NaN,NaN
9735,Hand Management, Point to Point Movement, Simulation,NaN,NaN,NaN
13089,Card Game, Party Game, Word Game,NaN,NaN,NaN
28452,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
225910,Deck, Hand Management, Variable Player Powers,NaN,NaN,NaN
132148,Area Movement, Campaign / Battle Card Driven, Dice Rolling,NaN,NaN,NaN
29875,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
111081,Dice Rolling,NaN,NaN,NaN,NaN,NaN
42444,Area Majority / Influence, Card Drafting, Hand Management, Tile Placement,NaN,NaN
149620,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
233973,Card Drafting, Dice Rolling,NaN,NaN,NaN,NaN
436,Betting and Bluffing, Grid Movement, Trick-taking,NaN,NaN,NaN
5767,Area Majority / Influence,NaN,NaN,NaN,NaN,NaN
5297,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
3414,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
145975,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
172062,Hand Management, Storytelling, Take That,NaN,NaN,NaN
203740,Action Points, Action Queue, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
202982,Line Drawing,NaN,NaN,NaN,NaN,NaN
34,Cooperative Game, Role Playing, Variable Player Powers,NaN,NaN,NaN
158815,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
102144,Action / Dexterity, Maze,NaN,NaN,NaN,NaN
145654,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
191579,Deck, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
117838,Hand Management, Set Collection,NaN,NaN,NaN,NaN
250561,Cooperative Game,NaN,NaN,NaN,NaN,NaN
181811,Roll / Spin and Move,NaN,NaN,NaN,NaN,NaN
49276,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
33924,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN,NaN
118023,Dice Rolling, Set Collection,NaN,NaN,NaN,NaN
10183,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
68603,Hand Management, Point to Point Movement, Team-Based Game, Variable Phase Order,NaN,NaN
7086,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
8138,Auction/Bidding, Pick-up and Deliver,NaN,NaN,NaN,NaN
145219,Auction/Bidding, Card Drafting, Hand Management, Memory, Set Collection, Trading
165877,Hand Management,NaN,NaN,NaN,NaN,NaN
2579,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
115288,Card Drafting, Deck, Hand Management, Variable Player Powers,NaN,NaN
1681,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
178896,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
6738,Hand Management, Point to Point Movement,NaN,NaN,NaN,NaN
175334,Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Variable Player Powers,NaN
4753,Tile Placement,NaN,NaN,NaN,NaN,NaN
4401,I Cut, Set Collection,NaN,NaN,NaN,NaN
25685,Action Points, Hand Management, Simulation, Solo / Solitaire Game, Variable Player Powers,NaN
232079,Action Queue, Modular Board, Team-Based Game,NaN,NaN,NaN
4920,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
16804,Dice Rolling, Hexagon Grid, Modular Board, Secret Unit Deployment, Simulation,NaN
110331,Card Drafting, Hand Management, Player Elimination, Simultaneous Action Selection, Worker Placement,NaN
1982,Trick-taking,NaN,NaN,NaN,NaN,NaN
711,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
255683,Cooperative Game,NaN,NaN,NaN,NaN,NaN
210271,Action Points, Dice Rolling,NaN,NaN,NaN,NaN
171672,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
59149,Acting, Set Collection, Simultaneous Action Selection,NaN,NaN,NaN
6209,Campaign / Battle Card Driven, Hand Management, Player Elimination, Take That, Variable Player Powers,NaN
94396,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
230852,Score-and-Reset Game,NaN,NaN,NaN,NaN,NaN
141067,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
17857,Network and Route Building, Stock Holding, Tile Placement,NaN,NaN,NaN
35289,Area Majority / Influence, Area Movement, Auction/Bidding, Roll / Spin and Move,NaN,NaN
163172,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1339,Dice Rolling, Role Playing, Variable Player Powers,NaN,NaN,NaN
66781,Chit-Pull System, Modular Board, Point to Point Movement,NaN,NaN,NaN
171492,Dice Rolling,NaN,NaN,NaN,NaN,NaN
137900,Cooperative Game, Modular Board, Variable Player Powers,NaN,NaN,NaN
244212,Auction/Bidding, Card Drafting, Tile Placement,NaN,NaN,NaN
254110,Card Drafting,NaN,NaN,NaN,NaN,NaN
224079,Pattern Building, Worker Placement,NaN,NaN,NaN,NaN
230304,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
19419,Hand Management,NaN,NaN,NaN,NaN,NaN
17997,Card Drafting,NaN,NaN,NaN,NaN,NaN
253574,Area Majority / Influence, Campaign / Battle Card Driven, Card Drafting, Deck, Hand Management, Role Playing
183959,Hand Management, Pattern Building, Tile Placement,NaN,NaN,NaN
460,Line Drawing,NaN,NaN,NaN,NaN,NaN
2154,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
5511,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
126750,Hand Management, Set Collection, Team-Based Game,NaN,NaN,NaN
160409,Voting,NaN,NaN,NaN,NaN,NaN
13286,Hand Management,NaN,NaN,NaN,NaN,NaN
3573,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
7103,Simulation, Simultaneous Action Selection,NaN,NaN,NaN,NaN
141653,Flicking, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
267814,Cooperative Game,NaN,NaN,NaN,NaN,NaN
109548,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
248167,Area Majority / Influence, Enclosure, Hand Management, Team-Based Game, Tile Placement, Variable Player Powers
3218,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
4356,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
814,Pattern Building, Tile Placement,NaN,NaN,NaN,NaN
247314,Cooperative Game,NaN,NaN,NaN,NaN,NaN
256918,Hand Management, Modular Board, Semi-Cooperative Game,NaN,NaN,NaN
130295,Cooperative Game, Deck,NaN,NaN,NaN,NaN
146228,Card Drafting, Variable Phase Order,NaN,NaN,NaN,NaN
279,Tile Placement,NaN,NaN,NaN,NaN,NaN
222862,Action Points, Area Majority / Influence, Pattern Building, Time Track, Variable Player Powers,NaN
94373,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
164158,Cooperative Game, Hand Management,NaN,NaN,NaN,NaN
166107,Hand Management, Set Collection,NaN,NaN,NaN,NaN
3597,Simulation,NaN,NaN,NaN,NaN,NaN
222145,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
23919,Crayon Rail System, Network and Route Building, Pick-up and Deliver,NaN,NaN,NaN
85424,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
41762,Action / Dexterity, Childrens Game,NaN,NaN,NaN,NaN
6137,Hand Management, Set Collection,NaN,NaN,NaN,NaN
57,Auction/Bidding, Commodity Speculation,NaN,NaN,NaN,NaN
147614,Memory, Pattern Recognition,NaN,NaN,NaN,NaN
72132,Area Majority / Influence, Card Drafting, Dice Rolling, Variable Player Powers,NaN,NaN
176146,Action Points, Area Movement, Campaign / Battle Card Driven, Dice Rolling,NaN,NaN
232041,Deck, Modular Board, Set Collection,NaN,NaN,NaN
261145,Deduction, Murder/Mystery, Party Game, Puzzle,NaN,NaN
1942,Hand Management, Trick-taking,NaN,NaN,NaN,NaN
34010,Hand Management, Point to Point Movement, Set Collection,NaN,NaN,NaN
153625,Area Majority / Influence, Card Drafting, Hand Management, Network and Route Building,NaN,NaN
1448,Set Collection,NaN,NaN,NaN,NaN,NaN
256804,Hand Management, Player Elimination, Push Your Luck, Set Collection, Take That,NaN
93971,Card Drafting, Commodity Speculation, Hand Management,NaN,NaN,NaN
213149,Farming, Industry / Manufacturing, Medieval, Territory Building,NaN,NaN
220155,Deck, Tile Placement, Worker Placement,NaN,NaN,NaN
172613,Card Drafting, Dice Rolling, Hand Management, Set Collection, Simultaneous Action Selection, Variable Phase Order
129359,Dice Rolling, Hand Management, Take That, Variable Player Powers,NaN,NaN
102181,Memory,NaN,NaN,NaN,NaN,NaN
231554,Betting and Bluffing, Hand Management, Memory, Trading,NaN,NaN
16000,Network and Route Building, Stock Holding, Tile Placement,NaN,NaN,NaN
67178,Abstract Strategy, Animals, Bluffing, Childrens Game, Racing,NaN
950,Team-Based Game, Trick-taking,NaN,NaN,NaN,NaN
247935,Crayon Rail System, Modular Board, Network and Route Building, Pick-up and Deliver, Tile Placement,NaN
10496,Action Points, Hand Management,NaN,NaN,NaN,NaN
193238,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
28284,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
9606,Deduction, Party Game, Puzzle,NaN,NaN,NaN
67917,Action Points, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management,NaN,NaN
165477,Deck,NaN,NaN,NaN,NaN,NaN
169275,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
235544,Dice Rolling, Grid Movement, Point to Point Movement, Secret Unit Deployment, Team-Based Game, Variable Player Powers
255633,Card Drafting,NaN,NaN,NaN,NaN,NaN
2968,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
10641,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
155460,Deck,NaN,NaN,NaN,NaN,NaN
182074,Area Majority / Influence, Area Movement,NaN,NaN,NaN,NaN
92363,Area Movement, Campaign / Battle Card Driven, Dice Rolling, Secret Unit Deployment, Simulation,NaN
72478,Point to Point Movement, Set Collection, Worker Placement,NaN,NaN,NaN
36325,Campaign / Battle Card Driven, Hand Management,NaN,NaN,NaN,NaN
21930,Card Drafting, Team-Based Game,NaN,NaN,NaN,NaN
188178,Card Drafting, Deck,NaN,NaN,NaN,NaN
282853,Trading,NaN,NaN,NaN,NaN,NaN
64220,Cooperative Game, Memory, Roll / Spin and Move,NaN,NaN,NaN
228580,Area Majority / Influence, Hand Management, Set Collection, Tile Placement, Variable Player Powers,NaN
212662,Betting and Bluffing, Hand Management, Player Elimination, Variable Player Powers,NaN,NaN
171356,Cooperative Game, Hand Management, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers,NaN
228051,Action Queue, Variable Player Powers,NaN,NaN,NaN,NaN
5369,Action Points, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
534,Hand Management, Point to Point Movement, Secret Unit Deployment, Team-Based Game,NaN,NaN
220774,Communication Limits, Memory, Pattern Recognition, Push Your Luck, Team-Based Game,NaN
132817,Card Drafting, Hand Management, Worker Placement,NaN,NaN,NaN
96260,Hand Management,NaN,NaN,NaN,NaN,NaN
217475,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
66982,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
247694,Team-Based Game,NaN,NaN,NaN,NaN,NaN
10206,Pattern Building,NaN,NaN,NaN,NaN,NaN
3383,Dice Rolling, Push Your Luck, Roll / Spin and Move,NaN,NaN,NaN
198414,Hand Management, Set Collection,NaN,NaN,NaN,NaN
234877,Action Queue, Cooperative Game, Set Collection,NaN,NaN,NaN
1894,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
235465,Pattern Building, Simultaneous Action Selection, Tile Placement,NaN,NaN,NaN
4475,Set Collection, Simultaneous Action Selection,NaN,NaN,NaN,NaN
172969,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
1708,Card Drafting, Dice Rolling, Hexagon Grid, Secret Unit Deployment,NaN,NaN
149097,Deck, Dice Rolling, Roll / Spin and Move, Variable Player Powers,NaN,NaN
6923,Dice Rolling, Hexagon Grid, Variable Player Powers,NaN,NaN,NaN
241491,Memory,NaN,NaN,NaN,NaN,NaN
200834,Area Majority / Influence, Card Drafting, Simulation,NaN,NaN,NaN
199242,Dice Rolling, Push Your Luck, Role Playing,NaN,NaN,NaN
27968,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
11081,Hand Management,NaN,NaN,NaN,NaN,NaN
1799,Card Game, Collectible Components, Fantasy,NaN,NaN,NaN
121423,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
35369,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
126912,Betting and Bluffing, Memory,NaN,NaN,NaN,NaN
230050,Area Majority / Influence, Area Movement, Deck, Player Elimination, Variable Player Powers,NaN
86177,Campaign / Battle Card Driven, Point to Point Movement, Simulation,NaN,NaN,NaN
147716,Dice Rolling, Grid Movement, Hand Management,NaN,NaN,NaN
192351,Set Collection, Worker Placement,NaN,NaN,NaN,NaN
12157,Paper-and-Pencil,NaN,NaN,NaN,NaN,NaN
200247,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
93541,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
226605,Grid Movement, Hand Management, Pattern Building, Take That,NaN,NaN
162351,Dice Rolling, Grid Movement, Hexagon Grid, Modular Board, Variable Player Powers,NaN
201006,Action Queue,NaN,NaN,NaN,NaN,NaN
203719,Action Points, Card Drafting, Dice Rolling, Grid Movement, Variable Player Powers,NaN
257063,Card Drafting, Cooperative Game, Hand Management, Take That,NaN,NaN
159143,Hand Management, Pattern Building, Tile Placement,NaN,NaN,NaN
95613,Hand Management, I Cut, Set Collection,NaN,NaN,NaN
240529,Pattern Building, Pattern Recognition, Worker Placement,NaN,NaN,NaN
255805,Action Points, Set Collection, Tile Placement, Worker Placement,NaN,NaN
4974,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
2800,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
16320,Hand Management, Set Collection,NaN,NaN,NaN,NaN
4984,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
28185,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
126613,Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
217099,Deck,NaN,NaN,NaN,NaN,NaN
204675,Action Points, Area Majority / Influence, Hand Management, Point to Point Movement, Simultaneous Action Selection,NaN
254088,Grid Movement, Hand Management, Modular Board,NaN,NaN,NaN
149910,Grid Movement,NaN,NaN,NaN,NaN,NaN
151,Action / Dexterity, Pirates,NaN,NaN,NaN,NaN
109764,Action Points, Tile Placement,NaN,NaN,NaN,NaN
163027,Action Queue, Hand Management,NaN,NaN,NaN,NaN
28907,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
8126,Area Majority / Influence, Auction/Bidding,NaN,NaN,NaN,NaN
233976,Worker Placement,NaN,NaN,NaN,NaN,NaN
9021,Campaign / Battle Card Driven, Modular Board, Pick-up and Deliver, Point to Point Movement, Push Your Luck, Roll / Spin and Move
24416,Pirates,NaN,NaN,NaN,NaN,NaN
13071,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
146,Commodity Speculation,NaN,NaN,NaN,NaN,NaN
192401,Card Drafting, Cooperative Game, Hand Management, Memory,NaN,NaN
181440,Area Majority / Influence, Hand Management, Variable Player Powers,NaN,NaN,NaN
3321,Card Drafting, Hand Management,NaN,NaN,NaN,NaN
7290,Simulation,NaN,NaN,NaN,NaN,NaN
213882,Cooperative Game, Point to Point Movement,NaN,NaN,NaN,NaN
21947,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1421,Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers,NaN,NaN,NaN
1927,Card Drafting, Dice Rolling, Hand Management, Take That, Variable Player Powers,NaN
144574,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
322,Betting and Bluffing, Dice Rolling, Set Collection,NaN,NaN,NaN
168215,Hand Management, Network and Route Building,NaN,NaN,NaN,NaN
5452,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
285533,Card Drafting, Pattern Building, Set Collection, Tile Placement,NaN,NaN
79067,Hand Management,NaN,NaN,NaN,NaN,NaN
170669,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
3416,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
69278,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
182619,Action Points, Auction/Bidding, Commodity Speculation, Trading, Variable Player Powers, Worker Placement
247704,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
122913,Campaign / Battle Card Driven, Dice Rolling, Hand Management, Modular Board, Simultaneous Action Selection,NaN
83629,Auction/Bidding, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Simultaneous Action Selection
242343,Cooperative Game, Hand Management, Take That, Variable Player Powers,NaN,NaN
146158,Tile Placement,NaN,NaN,NaN,NaN,NaN
937,Modular Board, Network and Route Building, Stock Holding,NaN,NaN,NaN
257966,Card Drafting, Set Collection, Worker Placement,NaN,NaN,NaN
37296,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
174402,Action Points, Area Majority / Influence, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid
88016,Deck, Hand Management,NaN,NaN,NaN,NaN
194100,Push Your Luck, Set Collection,NaN,NaN,NaN,NaN
193651,Dice Rolling,NaN,NaN,NaN,NaN,NaN
1152,Modular Board, Variable Player Powers,NaN,NaN,NaN,NaN
256541,Hand Management, Trick-taking, Variable Player Powers,NaN,NaN,NaN
103184,Card Drafting, Commodity Speculation, Memory, Modular Board, Set Collection,NaN
54643,Area Majority / Influence, Auction/Bidding,NaN,NaN,NaN,NaN
228959,Contracts, Turn Order: Claim Action, Worker Placement,NaN,NaN,NaN
207338,Set Collection, Variable Player Powers,NaN,NaN,NaN,NaN
270168,Dice Rolling, Pattern Building, Pattern Recognition, Stacking and Balancing,NaN,NaN
69851,Hand Management,NaN,NaN,NaN,NaN,NaN
221155,Area Majority / Influence, Dice Rolling, Hand Management, Variable Player Powers, Worker Placement,NaN
1669,Area Movement, Campaign / Battle Card Driven,NaN,NaN,NaN,NaN
54433,Auction/Bidding, Push Your Luck, Set Collection, Team-Based Game,NaN,NaN
34166,Dice Rolling, Tile Placement,NaN,NaN,NaN,NaN
142124,Card Drafting, Commodity Speculation, Set Collection, Simultaneous Action Selection,NaN,NaN
941,Puzzle, Real-time,NaN,NaN,NaN,NaN
94902,Dice Rolling, Role Playing,NaN,NaN,NaN,NaN
