objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
181523,Snowblind  Race for the Pole,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
129090,Roll For It!,Dice Rolling,NaN,NaN,NaN,NaN,NaN
45134,Arcana,Area Majority / Influence, Deck, Hand Management, Secret Unit Deployment, Set Collection, Trick-taking
199223,Bad Bones,Grid Movement, Simultaneous Action Selection, Take That,NaN,NaN,NaN
13005,Tanz der Hornochsen!,Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
285775,KeyForge  Worlds Collide,Hand Management, Take That,NaN,NaN,NaN,NaN
206156,SUPERHOT  The Card Game,Action Queue, Cooperative Game, Deck, Hand Management,NaN,NaN
2876,Mage Knight Dungeons,Action Points, Modular Board, Role Playing, Tile Placement, Variable Player Powers,NaN
155702,Quarriors! Light vs. Dark,Deck, Dice Rolling, Set Collection,NaN,NaN,NaN
19358,Western Town,Dice Rolling, Hand Management, Simultaneous Action Selection,NaN,NaN,NaN
8229,\u963f\u746a\u591a\u62c9,Area Majority / Influence, Enclosure, Secret Unit Deployment,NaN,NaN,NaN
3828,Lokomotive Werks,Commodity Speculation, Dice Rolling,NaN,NaN,NaN,NaN
256669,Scorpius Freighter,Card Drafting, Rondel, Set Collection, Tile Placement, Variable Player Powers,NaN
201846,Expancity,Action Points, Modular Board, Simulation, Tile Placement,NaN,NaN
114438,But Wait,Acting, Storytelling,NaN,NaN,NaN,NaN
271060,Pathfinder Adventure Card Game  Core Set,Cooperative Game, Deck, Dice Rolling, Hand Management, Role Playing, Variable Player Powers
270538,Foothills,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
252688,Enchanters  Overlords,Card Drafting, Set Collection, Take That,NaN,NaN,NaN
229791,Triplock,Dice Rolling, Hand Management, Memory, Pattern Building, Pattern Recognition, Set Collection
159632,Strife  Legacy of the Eternals,Hand Management, Pattern Building, Simultaneous Action Selection,NaN,NaN,NaN
39328,Baltic Gap,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
25727,Lock 'n Load Tactical  Day of Heroes,Grid Movement,NaN,NaN,NaN,NaN,NaN
23890,Der schwarze Pirat,Dice Rolling, Point to Point Movement,NaN,NaN,NaN,NaN
156840,Clinic,Pick-up and Deliver, Simulation, Tile Placement,NaN,NaN,NaN
257726,Brikks,Grid Coverage, Pattern Building, Tile Placement,NaN,NaN,NaN
5651,The Longest Day,Cooperative Game, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
3463,Wizard,Dice Rolling, Hexagon Grid, Role Playing, Variable Player Powers,NaN,NaN
38318,Start Player,Card Drafting,NaN,NaN,NaN,NaN,NaN
203204,Magic  The Gathering \u2013 Arena of the Planeswalkers  Shadows over Innistrad,Dice Rolling, Grid Movement, Hand Management, Modular Board, Team-Based Game,NaN
29294,World of Warcraft  The Adventure Game,Dice Rolling, Hand Management, Role Playing, Variable Player Powers,NaN,NaN
177727,Haleakala,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
58798,Cardcassonne,Card Drafting, Hand Management, Set Collection,NaN,NaN,NaN
192673,Martians  A Story of Civilization,Action Points, Cooperative Game, Solo / Solitaire Game, Team-Based Game, Variable Player Powers, Worker Placement
4556,Patton's Best,Area Majority / Influence, Area Movement, Dice Rolling, Role Playing, Simulation,NaN
99312,Feudality,Dice Rolling, Tile Placement,NaN,NaN,NaN,NaN
184700,In the Name of Odin,Hand Management, Set Collection,NaN,NaN,NaN,NaN
16497,Rat Hot,Pattern Building, Take That, Tile Placement,NaN,NaN,NaN
27680,1936  Guerra Civil,Card Drafting, Hand Management, Simulation,NaN,NaN,NaN
252399,Vast  The Mysterious Manor,Action Points, Grid Movement, Hand Management, Modular Board, Tile Placement, Variable Player Powers
9675,La Strada,Action Points, Area Majority / Influence, Enclosure, Hand Management, Modular Board, Network and Route Building
209003,Commands & Colors  Medieval,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
211940,Okey Dokey,Cooperative Game, Hand Management,NaN,NaN,NaN,NaN
204605,Unicornus Knights,Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers,NaN
122690,Star Trek Deck Building Game  The Original Series,Card Drafting, Deck, Push Your Luck, Simulation,NaN,NaN
106999,Coney Island,Enclosure, Tile Placement,NaN,NaN,NaN,NaN
258451,Deckscape  The Mystery of Eldorado,Cooperative Game, Memory,NaN,NaN,NaN,NaN
28396,It's Alive!,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
117663,\u05d0\u05d5\u05e6\u05e8\u05d5\u05ea \u05d0\u05d5 \u05e6\u05e8\u05d5\u05ea,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
6688,Ninety-Nine,Betting and Bluffing, Hand Management, Trick-taking,NaN,NaN,NaN
188164,B-17 Flying Fortress Leader,Card Drafting, Chit-Pull System, Hexagon Grid, Simulation,NaN,NaN
283649,Deep Blue,Deck, Push Your Luck,NaN,NaN,NaN,NaN
268586,6 nimmt! 25 Jahre,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
272682,Expedition to Newdale,Hand Management, Simultaneous Action Selection, Variable Setup, Worker Placement, Worker Placement,NaN
201509,Dead Man's Doubloons,Action Queue, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Push Your Luck
207910,Subatomic  An Atom Building Game,Action Points, Deck, Hand Management, Push Your Luck,NaN,NaN
164702,Glorantha  The Gods War,Action Points, Area Movement, Dice Rolling, Variable Player Powers,NaN,NaN
226213,Cursed Court,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
266964,Dice Throne  Season Two \u2013 Vampire Lord v. Seraph,Dice Rolling, Take That, Variable Player Powers,NaN,NaN,NaN
255455,Captains of the Gulf,Hand Management, Pick-up and Deliver,NaN,NaN,NaN,NaN
127312,Enigma,Card Drafting, Pattern Recognition, Tile Placement,NaN,NaN,NaN
64956,10 Days in the Americas,Hand Management, Network and Route Building, Tile Placement,NaN,NaN,NaN
339,Quiddler Deluxe,Hand Management, Set Collection,NaN,NaN,NaN,NaN
38984,Mow,Hand Management,NaN,NaN,NaN,NaN,NaN
72667,Mijnlieff,Modular Board, Pattern Building,NaN,NaN,NaN,NaN
13751,Under the Shadow of the Dragon,Dice Rolling, Modular Board, Pick-up and Deliver, Role Playing, Variable Player Powers,NaN
249411,Cuzco,Action Points, Area Majority / Influence, Hexagon Grid, Tile Placement,NaN,NaN
144761,Going,Auction/Bidding, Auction: Dexterity, Set Collection,NaN,NaN,NaN
55834,Mosaix,Dice Rolling, Pattern Building,NaN,NaN,NaN,NaN
244946,Brook City,Cooperative Game, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
161530,J\u00e4ger und Sp\u00e4her,Card Drafting, Deck, Hand Management, Worker Placement,NaN,NaN
4173,Anzio,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
27165,Age of Discovery,Card Drafting, Hand Management,NaN,NaN,NaN,NaN
755,Thunder at Cassino,Area-Impulse, Dice Rolling,NaN,NaN,NaN,NaN
155025,The Magnates  A Game of Power,Area Majority / Influence, Auction/Bidding, Hand Management,NaN,NaN,NaN
134711,Guilds of Cadwallon,Area Majority / Influence, Set Collection, Tile Placement,NaN,NaN,NaN
146784,A Touch of Evil  Dark Gothic,Deck,NaN,NaN,NaN,NaN,NaN
226254,The Ruhr  A Story of Coal Trade,Pick-up and Deliver, Worker Placement,NaN,NaN,NaN,NaN
25114,Die S\u00e4ulen von Venedig,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
313,Big Boss,Stock Holding,NaN,NaN,NaN,NaN,NaN
26235,Pick & Pack,Action Queue, Grid Movement,NaN,NaN,NaN,NaN
21985,Giro Galoppo,Animals, Childrens Game, Racing,NaN,NaN,NaN
34496,World of Warcraft Miniatures Game,Action Points, Area Movement, Dice Rolling, Hexagon Grid,NaN,NaN
91773,Resident Evil Deck Building Game  Alliance,Card Drafting, Deck, Hand Management, Team-Based Game, Variable Player Powers,NaN
247160,Dinosaur Tea Party,Memory, Pattern Recognition,NaN,NaN,NaN,NaN
111502,Star Trek Deck Building Game  The Next Generation \u2013 Next Phase,Card Drafting, Cooperative Game, Deck, Role Playing, Team-Based Game,NaN
229632,Unlock! Fifth Avenue,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
17851,Pizza Box Football,Dice Rolling, Rock-Paper-Scissors, Simulation, Simultaneous Action Selection,NaN,NaN
165876,Spike,Network and Route Building, Pick-up and Deliver,NaN,NaN,NaN,NaN
63539,Lupus in Tabula,Player Elimination, Role Playing, Team-Based Game, Variable Player Powers, Voting,NaN
29387,Zombie Fluxx,Hand Management, Set Collection, Take That,NaN,NaN,NaN
282414,Pharaon,Modular Board, Variable Player Powers,NaN,NaN,NaN,NaN
92643,Artus,Hand Management,NaN,NaN,NaN,NaN,NaN
88513,Chicken Caesar,Area Majority / Influence, Voting,NaN,NaN,NaN,NaN
176361,One Night Revolution,Role Playing, Team-Based Game, Variable Player Powers, Voting,NaN,NaN
173275,Ghostbusters  The Board Game,Cooperative Game, Dice Rolling, Grid Movement,NaN,NaN,NaN
270314,Ohanami,Card Drafting, Pattern Building, Set Collection,NaN,NaN,NaN
42306,Wings of War  WW2 Deluxe set,Action Queue, Player Elimination, Simulation, Simultaneous Action Selection,NaN,NaN
213370,Castles of Caladale,Modular Board, Pattern Building, Tile Placement,NaN,NaN,NaN
29805,Petits Meurtres & Faits Divers,Acting, Storytelling,NaN,NaN,NaN,NaN
789,Focus,Grid Movement,NaN,NaN,NaN,NaN,NaN
63740,Hotel Samoa,Auction/Bidding, Hand Management, Memory, Simultaneous Action Selection,NaN,NaN
143981,VOLT  Robot Battle Arena,Action Queue, Grid Movement, Programmed Movement, Variable Player Powers,NaN,NaN
231991,Firefly Adventures  Brigands and Browncoats,Cooperative Game, Role Playing, Time Track, Variable Player Powers,NaN,NaN
3413,Saratoga,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
55601,Sneaks & Snitches,Set Collection, Simultaneous Action Selection,NaN,NaN,NaN,NaN
234521,Necromunda  Underhive,Action Points, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
150484,Secrets of the Lost Tomb,Action Points, Cooperative Game, Dice Rolling, Modular Board, Tile Placement, Variable Player Powers
144325,Munchkin Legends,Card Drafting, Dice Rolling, Hand Management, Take That, Variable Player Powers,NaN
13123,No. 500,Trick-taking,NaN,NaN,NaN,NaN,NaN
255664,The Binding of Isaac  Four Souls,Dice Rolling, Take That, Variable Player Powers,NaN,NaN,NaN
107704,Fief,Area Majority / Influence, Area Movement, Dice Rolling, Secret Unit Deployment, Simulation, Team-Based Game
3730,Statis Pro Baseball,Simulation,NaN,NaN,NaN,NaN,NaN
3593,Star Wars  Star Warriors,Action Queue, Hexagon Grid, Simultaneous Action Selection,NaN,NaN,NaN
129556,Think! Words,Player Elimination,NaN,NaN,NaN,NaN,NaN
40603,Incursion,Action Points, Dice Rolling, Grid Movement, Variable Player Powers,NaN,NaN
41239,Mamma Mia! Plus,Hand Management, Memory,NaN,NaN,NaN,NaN
12171,Le Passe-Trappe,Action / Dexterity,NaN,NaN,NaN,NaN,NaN
4854,7th Fleet,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
176334,Guns & Steel,Deck, Hand Management, Take That,NaN,NaN,NaN
9617,Russian Rails,Crayon Rail System, Network and Route Building, Pick-up and Deliver,NaN,NaN,NaN
225,Icehouse,Abstract Strategy, Real-time,NaN,NaN,NaN,NaN
97273,Upon a Salty Ocean,Action Points, Variable Phase Order,NaN,NaN,NaN,NaN
42328,Pax Baltica,Action Points, Area Movement, Dice Rolling, Secret Unit Deployment, Simulation,NaN
218376,Direwild,Cooperative Game, Deck, Dice Rolling, Grid Movement, Variable Player Powers,NaN
1206,Venture,Set Collection,NaN,NaN,NaN,NaN,NaN
8946,\u039a\u03ce\u03b4\u03b9\u03ba\u03b1\u03c2 \u0391\u03c1\u03c7\u03b9\u03bc\u03ae\u03b4\u03b7,Deduction,NaN,NaN,NaN,NaN,NaN
63167,Undermining,Action Points, Contracts, Grid Movement, Pick-up and Deliver, Set Collection,NaN
204817,Henchmania,Area Majority / Influence, Deck, Dice Rolling,NaN,NaN,NaN
229956,Fort Sumter  The Secession Crisis,Area Majority / Influence, Campaign / Battle Card Driven, Hand Management, Simulation,NaN,NaN
194232,Rick and Morty  Total Rickall Card Game,Cooperative Game, Hand Management, Memory,NaN,NaN,NaN
266179,Space Gate Odyssey,Network and Route Building, Tile Placement, Worker Placement,NaN,NaN,NaN
193483,Dwar7s Fall,Hand Management, Set Collection, Take That, Tile Placement, Worker Placement,NaN
213953,Pyramid Poker,Pattern Building, Push Your Luck,NaN,NaN,NaN,NaN
234691,Mystery of the Temples,Action Queue, Area Majority / Influence, Pattern Recognition, Set Collection, Variable Player Powers,NaN
163163,Grand Prix,Hand Management,NaN,NaN,NaN,NaN,NaN
831,Schrille Stille,Commodity Speculation, Secret Unit Deployment, Voting,NaN,NaN,NaN
6927,Hornet Leader,Simulation,NaN,NaN,NaN,NaN,NaN
283294,Yukon Airways,Drafting, Hand Management, Pick-up and Deliver, Resource to Move, Solo / Solitaire Game, Variable Setup
101682,Saints in Armor,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
215616,Ascension  Gift of the Elements,Card Drafting, Deck, Hand Management,NaN,NaN,NaN
271785,Slide Quest,Cooperative Game,NaN,NaN,NaN,NaN,NaN
834,Chronology  The Game of All Time,Push Your Luck,NaN,NaN,NaN,NaN,NaN
65568,J\u00e4ger und Sammler,Enclosure, Grid Movement, Memory, Set Collection,NaN,NaN
128733,Revolver 2  Last Stand at Malpaso,Hand Management,NaN,NaN,NaN,NaN,NaN
6714,Go Away Monster!,Cooperative Game, Pattern Recognition, Set Collection,NaN,NaN,NaN
144388,Elevenses,Hand Management,NaN,NaN,NaN,NaN,NaN
18746,Gustav Adolf the Great  With God and Victorious Arms,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
253399,Journal 29  Interactive Book Game,Paper-and-Pencil,NaN,NaN,NaN,NaN,NaN
173092,Tr\u00e4xx,Line Drawing,NaN,NaN,NaN,NaN,NaN
189350,Starving Artists,Set Collection,NaN,NaN,NaN,NaN,NaN
129820,Salmon Run,Deck, Grid Movement, Hand Management, Modular Board,NaN,NaN
28218,Fangfrisch,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
6955,Reiner Knizia's Decathlon,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
235627,Iquazu\u0301,Area Majority / Influence, Hand Management, Modular Board, Set Collection, Worker Placement,NaN
169649,Sapiens,Take That, Tile Placement,NaN,NaN,NaN,NaN
2375,Sequence,Hand Management, Pattern Building, Team-Based Game,NaN,NaN,NaN
42142,Doctor Who  Solitaire Story Game,Dice Rolling, Storytelling,NaN,NaN,NaN,NaN
230200,Overbooked,Card Drafting, Pattern Building, Pattern Recognition,NaN,NaN,NaN
120669,No Retreat! The North African Front,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
10814,Dicke Luft in der Gruft,Memory,NaN,NaN,NaN,NaN,NaN
11106,Warhammer 40,Dice Rolling, Line of Sight, Measurement Movement, Modular Board, Variable Player Powers,NaN
33495,Time's Up! \u00c9dition purple,Acting, Communication Limits, Memory, Team-Based Game,NaN,NaN
10156,The Russian Campiagn  Mega Version (fifth edition),Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
20865,Bolide,Dice Rolling, Point to Point Movement, Simulation,NaN,NaN,NaN
42490,Pony Express,Dice Rolling, Roll / Spin and Move,NaN,NaN,NaN,NaN
27969,A Most Dangerous Time  Japan in Chaos,Action Points, Chit-Pull System, Dice Rolling, Point to Point Movement,NaN,NaN
3408,This Accursed Civil War,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
207898,Captive,Book,NaN,NaN,NaN,NaN,NaN
153422,Gardens,Pattern Recognition, Tile Placement,NaN,NaN,NaN,NaN
245928,Pax Emancipation,Action Points, Card Drafting, Cooperative Game, Deck, Dice Rolling, End Game Bonuses
119632,IOTA,Pattern Building, Pattern Recognition, Tile Placement,NaN,NaN,NaN
253756,Gorus Maximus,Team-Based Game, Trick-taking,NaN,NaN,NaN,NaN
253215,Jetpack Joyride,Tile Placement,NaN,NaN,NaN,NaN,NaN
42244,Martinique,Enclosure, Grid Movement, Set Collection,NaN,NaN,NaN
274533,Throw Throw Burrito Original Edition,Set Collection, Take That,NaN,NaN,NaN,NaN
28086,Risk Express,Dice Rolling,NaN,NaN,NaN,NaN,NaN
159868,Sellswords,Area Majority / Influence, Card Drafting, Tile Placement,NaN,NaN,NaN
2073,Sixth Fleet,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN,NaN
168839,Die Kutschfahrt zur Teufelsburg,Hand Management,NaN,NaN,NaN,NaN,NaN
18243,Parthenon  Rise of the Aegean,Pick-up and Deliver, Set Collection, Trading, Voting,NaN,NaN
196305,Guildhall Fantasy  Alliance,Hand Management, Set Collection, Take That,NaN,NaN,NaN
258412,Unlock! Night of the Boogeymen,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
161297,Paradox,Action Points, Card Drafting, Set Collection,NaN,NaN,NaN
1350,Das Amulett,Auction/Bidding, Set Collection, Variable Player Powers,NaN,NaN,NaN
173115,Monarch,Card Drafting, Modular Board, Set Collection, Variable Player Powers,NaN,NaN
247360,Junk Orbit,Pick-up and Deliver, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
85204,Kings of War,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
262540,Freshwater Fly,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
236248,Small Islands,Push Your Luck, Tile Placement,NaN,NaN,NaN,NaN
195194,Horizons,Area Majority / Influence, Modular Board, Tile Placement,NaN,NaN,NaN
655,Castle,Hand Management, Tile Placement,NaN,NaN,NaN,NaN
178210,Batman Fluxx,Hand Management, Set Collection,NaN,NaN,NaN,NaN
9963,Santorini,Grid Movement, Tile Placement, Variable Player Powers,NaN,NaN,NaN
2150,London's Burning,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
32424,1848  Australia,Auction/Bidding, Loans, Market, Network and Route Building, Ownership, Stock Holding
13855,Carthage  The First Punic War,Chit-Pull System, Hexagon Grid, Simulation,NaN,NaN,NaN
177515,SEAL Team Flix,Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Flicking, Grid Movement, Time Track
129294,Campaign Trail,Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Hand Management, Variable Player Powers,NaN
28805,The Lord of the Rings  Strategy Battle Game,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
1705,Slapshot,Deck, Simultaneous Action Selection, Trading,NaN,NaN,NaN
69552,Panic Station,Action Points, Area Movement, Dice Rolling, Hand Management, Modular Board, Player Elimination
266460,Y\u00ednzi  The Shining Ming Dynasty,Hand Management, Pick-up and Deliver, Worker Placement,NaN,NaN,NaN
121073,Panic Lab,Dice Rolling, Memory, Pattern Recognition,NaN,NaN,NaN
123885,Pick-a-Pig,Pattern Recognition,NaN,NaN,NaN,NaN,NaN
142,Vino,Area Majority / Influence, Commodity Speculation, Simultaneous Action Selection,NaN,NaN,NaN
201308,Hive Mind,Cooperative Game, Paper-and-Pencil,NaN,NaN,NaN,NaN
192343,Bubblee Pop,Pattern Building,NaN,NaN,NaN,NaN,NaN
2129,Crossbows and Catapults,Action / Dexterity, Childrens Game, Medieval,NaN,NaN,NaN
137095,The Witches  A Discworld Game,Cooperative Game, Dice Rolling, Point to Point Movement, Set Collection,NaN,NaN
3086,The Omega Virus,Set Collection,NaN,NaN,NaN,NaN,NaN
181501,Peloponnes Card Game,Auction/Bidding, Card Drafting, Variable Player Powers,NaN,NaN,NaN
227893,Smile,Card Game,NaN,NaN,NaN,NaN,NaN
151151,Epic Resort,Deck, Hand Management, Worker Placement,NaN,NaN,NaN
255907,Trogdor!! The Board Game,Area Majority / Influence, Area Movement, Cooperative Game, Grid Movement,NaN,NaN
246150,Arraial,Action Points, Pattern Building,NaN,NaN,NaN,NaN
217949,A Column of Fire,Area Majority / Influence, Card Drafting, Dice Rolling, Worker Placement,NaN,NaN
183578,Wing Leader  Supremacy 1943-1945,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
215471,Wind the Film!,Card Drafting, Hand Management, Set Collection,NaN,NaN,NaN
165,La Boite Magique,Line Drawing, Pattern Recognition, Secret Unit Deployment,NaN,NaN,NaN
130552,Warhammer  The Game of Fantasy Battles (8th Edition),Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
214996,Silver Bayonet  The First Team in Vietnam,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
5825,Paris Paris,Area Majority / Influence, Network and Route Building,NaN,NaN,NaN,NaN
234429,Raids,Medieval, Nautical,NaN,NaN,NaN,NaN
7571,Winds of Plunder,Action Points, Auction/Bidding, Take That, Voting,NaN,NaN
235512,Loot Island,Hand Management, Set Collection,NaN,NaN,NaN,NaN
269160,Old Masters,Worker Placement,NaN,NaN,NaN,NaN,NaN
146130,Coin Age,Area Majority / Influence, Area Movement, Push Your Luck,NaN,NaN,NaN
38931,Basilica,Action Points, Area Majority / Influence, Card Drafting, Modular Board, Tile Placement,NaN
23950,Viktory II,Dice Rolling, Modular Board,NaN,NaN,NaN,NaN
24568,Rumis+,Enclosure,NaN,NaN,NaN,NaN,NaN
50381,Cards Against Humanity For Her,Hand Management, Player Judge, Simultaneous Action Selection,NaN,NaN,NaN
31745,Utopia,Area Majority / Influence, Area Movement,NaN,NaN,NaN,NaN
159406,Portal  The Uncooperative Cake Acquisition Game,Area Majority / Influence, Modular Board,NaN,NaN,NaN,NaN
62225,Infidel,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
276925,Warhammer Age of Sigmar  Warcry Starter Set,Dice Rolling,NaN,NaN,NaN,NaN,NaN
62853,JAB  Realtime Boxing,Memory, Pattern Building, Pattern Recognition,NaN,NaN,NaN
103091,Catan Histories  Merchants of Europe,Dice Rolling, Network and Route Building, Trading,NaN,NaN,NaN
4001,Space Marine,Dice Rolling, Simultaneous Action Selection, Variable Player Powers,NaN,NaN,NaN
280136,Paranormal Detectives,Acting, Hand Management, Line Drawing, Pattern Recognition, Variable Player Powers,NaN
2,Dragonmaster,Trick-taking,NaN,NaN,NaN,NaN,NaN
209136,Q.E.,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
142239,Vye  The Card Game of Capture and Control,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
302,Forum Romanum,Area Majority / Influence,NaN,NaN,NaN,NaN,NaN
23685,1805  Sea of Glory,Chit-Pull System, Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN
36887,Waterloo,Action Points, Area Movement, Dice Rolling,NaN,NaN,NaN
258411,Unlock! Expedition  Challenger,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
4210,Stonewall's Last Battle  The Chancellorsville Campaign,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1125,Big Shot,Area Majority / Influence, Auction/Bidding, Dice Rolling,NaN,NaN,NaN
129156,Battles of the Bulge  Celles,Chit-Pull System, Hexagon Grid, Simulation,NaN,NaN,NaN
276498,Paris  La Cit\u00e9 de la Lumi\u00e8re,Area Majority / Influence, Tile Placement,NaN,NaN,NaN,NaN
178940,Push It,Action / Dexterity, Childrens Game,NaN,NaN,NaN,NaN
104377,TSCHAK!,Auction/Bidding, Hand Management, Memory, Simultaneous Action Selection,NaN,NaN
63196,Three-Dragon Ante  Emperor's Gambit,Betting and Bluffing, Hand Management, Set Collection,NaN,NaN,NaN
5445,Rod Hockey,Simulation,NaN,NaN,NaN,NaN,NaN
5316,Warhammer Epic 40,Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN,NaN
72420,Braggart,Card Drafting, Hand Management, Set Collection, Storytelling, Take That,NaN
4079,What's My Word?,Paper-and-Pencil,NaN,NaN,NaN,NaN,NaN
230059,Crossfire,Bluffing, Deduction, Real-time, Science Fiction, Spies/Secret Agents,NaN
14634,Homeworlds,Modular Board, Player Elimination, Point to Point Movement,NaN,NaN,NaN
57998,Bo\u017ce Igrzysko,Area Majority / Influence, Auction/Bidding, Dice Rolling, Voting,NaN,NaN
201455,Assault of the Giants,Action Retrieval, Area Majority / Influence, Card Drafting, Dice Rolling, Hand Management, Trading
912,Pacific Victory,Dice Rolling, Secret Unit Deployment, Simulation,NaN,NaN,NaN
8130,Die Fugger,Commodity Speculation,NaN,NaN,NaN,NaN,NaN
246228,Impact  Battle of Elements,Dice Rolling, Player Elimination,NaN,NaN,NaN,NaN
20101,Kaivai,Action Points, Area Movement, Auction/Bidding, Dice Rolling, Tile Placement,NaN
152510,The Lord of the Rings  The Return of the King Deck-Building Game,Deck,NaN,NaN,NaN,NaN,NaN
55863,The Three Musketeers  The Queen's Pendants,Dice Rolling, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
145642,The Cards of Cthulhu,Cooperative Game, Dice Rolling,NaN,NaN,NaN,NaN
1498,Paydirt,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
221230,Farlight,Auction/Bidding, Card Drafting, Tile Placement,NaN,NaN,NaN
146559,Infamy,Auction/Bidding, Secret Unit Deployment, Simultaneous Action Selection, Take That, Worker Placement,NaN
248,Blood Royale,Pick-up and Deliver, Set Collection,NaN,NaN,NaN,NaN
226588,Untold  Adventures Await,Dice Rolling, Role Playing, Storytelling,NaN,NaN,NaN
8515,Hybrid,Dice Rolling, Modular Board, Role Playing,NaN,NaN,NaN
126239,Twin Tin Bots,Action Queue, Pick-up and Deliver, Simulation,NaN,NaN,NaN
234711,Christmas Tree,Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement,NaN,NaN
278553,Silver,Hand Management, Set Collection,NaN,NaN,NaN,NaN
142889,Enemy Coast Ahead  The Dambuster Raid,Cooperative Game, Dice Rolling, Simulation,NaN,NaN,NaN
5740,Strat-O-Matic Pro Football,Sports,NaN,NaN,NaN,NaN,NaN
28044,Pocket Civ,Area Majority / Influence, Card Drafting, Modular Board,NaN,NaN,NaN
180761,Dreamwell,Grid Movement, Modular Board, Pattern Building, Set Collection,NaN,NaN
252854,Sabotage,Action Queue, Dice Rolling, Grid Movement, Hidden Movement, Secret Unit Deployment, Simultaneous Action Selection
104627,Feudalia,Card Drafting, Deck, Hand Management, Trading, Worker Placement,NaN
65825,Gettysburg,Action Points, Dice Rolling,NaN,NaN,NaN,NaN
154510,Shadows of Malice,Cooperative Game, Dice Rolling, Grid Movement, Hexagon Grid, Modular Board, Role Playing
7614,A World at War,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
216578,Half-Pint Heroes,Set Collection, Simultaneous Action Selection, Trick-taking,NaN,NaN,NaN
66190,New York,Card Drafting, Hand Management, Set Collection, Tile Placement,NaN,NaN
21373,Federation Commander  Romulan Border,Action Points, Dice Rolling, Hexagon Grid, Simultaneous Action Selection,NaN,NaN
145888,CapCom Street Fighter Deck-Building Game,Deck,NaN,NaN,NaN,NaN,NaN
144743,Machina Arcana,Action Points, Cooperative Game, Dice Rolling, Grid Movement,NaN,NaN
206939,Do De Li Do,Acting,NaN,NaN,NaN,NaN,NaN
72644,Space Mission Maze Globe,Action / Dexterity, Maze,NaN,NaN,NaN,NaN
255659,Ground Floor (second edition),Variable Player Powers, Worker Placement,NaN,NaN,NaN,NaN
123228,Bling Bling Gemstone,Action / Dexterity, Childrens Game, Party Game,NaN,NaN,NaN
3895,Silent Death,Dice Rolling, Hexagon Grid, Variable Player Powers,NaN,NaN,NaN
