objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
110327,Lords of Waterdeep,Card Drafting, Contracts, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That
157354,Five Tribes  The Djinns of Naqala,Auction/Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection
125153,The Gallerist,Commodity Speculation, Investment, Set Collection, Worker Placement,NaN,NaN
201808,Clank!  A Deck-Building Adventure,Card Drafting, Deck, Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement
12493,Twilight Imperium (Third Edition),Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources
93,El Grande,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory
205896,Rising Sun,Alliances, Area Majority / Influence, Area Movement, Set Collection, Simultaneous Action Selection, Take That
146021,Eldritch Horror,Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game
172386,Mombasa,Action Queue, Area Majority / Influence, Card Drafting, Deck, Hand Management, Investment
40834,Dominion  Intrigue,Card Drafting, Deck, Hand Management,NaN,NaN,NaN
37111,Battlestar Galactica  The Board Game,Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing
178900,Codenames XXL,Communication Limits, Memory, Push Your Luck, Team-Based Game,NaN,NaN
161533,Lisboa,Area Majority / Influence, Card Drafting, Hand Management, Tile Placement,NaN,NaN
163412,Patchwork,Card Drafting, Grid Coverage, Square Grid, Tile Placement, Time Track,NaN
73439,Troyes,Area Majority / Influence, Dice Rolling, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement
229853,Teotihuacan  City of Gods,Area Movement, Point to Point Movement, Rondel, Set Collection, Tile Placement, Variable Player Powers
521,\u52a0\u62ff\u5927\u68cb,Flicking, Team-Based Game,NaN,NaN,NaN,NaN
199792,Everdell,Drafting, End Game Bonuses, Worker Placement,NaN,NaN,NaN
192135,Too Many Bones,Cooperative Game, Deck, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move
144733,Russian Railroads,End Game Bonuses, Worker Placement,NaN,NaN,NaN,NaN
132531,Roll for the Galaxy,Deck, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,NaN
191189,Aeon's End,Card Drafting, Cooperative Game, Deck, Hand Management, Solo / Solitaire Game, Variable Phase Order
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
42,Tigris & Euphrates,Area Majority / Influence, Hand Management, Highest-Lowest Scoring, Set Collection, Tile Placement,NaN
102680,Trajan,Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection
236457,Architects of the West Kingdom,Drafting, Variable Player Powers, Worker Placement,NaN,NaN,NaN
200680,Agricola (Revised Edition),Card Drafting, Enclosure, Hand Management, Worker Placement, Solo / Solitaire Game, Team-Based Game
36218,Dominion,Deck, Delayed Purchase, Hand Management, Take That, Variable Setup,NaN
30549,Pandemic,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
247763,Underwater Cities,End Game Bonuses, Income, Network and Route Building, Turn Order: Stat-Based, Worker Placement,NaN
170042,Raiders of the North Sea,Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement,NaN
198928,Pandemic  Iberia,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game
103885,Star Wars  X-Wing Miniatures Game,Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simultaneous Action Selection
127023,Kemet,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management,NaN
146508,T.I.M.E Stories,Cooperative Game, Dice Rolling, Storytelling, Variable Player Powers,NaN,NaN
196340,Yokohama,Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection
150376,Dead of Winter  A Crossroads Game,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph
182874,Grand Austria Hotel,Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities
34635,Stone Age,Dice Rolling, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
