objectid,publisher,publisher,publisher,publisher,publisher,publisher
172386,eggertspiele, Albi, Arclight, Bright World Games, Delta Vision Publishing, Do it games
40834,Rio Grande Games, 999 Games, Albi, ASS Altenburger Spielkarten, Bard Centrum Gier, Devir
37111,Fantasy Flight Games, Edge Entertainment, Editrice Giochi, Galakta, Game Harbor, Giochi Uniti
178900,Czech Games Edition, Bergsala Enigma, Boardgame Space, Brain Games, Broadway Toys LTD, Cranio Creations
161533,Eagle-Gryphon Games, Angry Lion Games, Giochix.it, hobbity.eu, Mandala Jogos,NaN
163412,Lookout Games, 999 Games, Asmodee, Compaya.hu - Gamer Cafu00e9 Kft., CrowD Games, Funforge
73439,Pearl Games, Asmodee, Rebel, Swan Panasia Co., Z-Man Games,NaN
229853,NSKN Games, Board&Dice, Bucaneiros Jogos, CrowD Games, Game Harbor, Giochix.it
521,(Public Domain), Carrom Company, Cogitate Games, Crokinole World, Felsberger, Ferti
199792,Starling Games (II), Abraxas, Gu00e9m Klub Kft., Hobby World, Maldito Games, Rebel
192135,Chip Theory Games, Gameland u6e38u620fu5927u9646,NaN,NaN,NaN,NaN
144733,Hans im Glu00fcck, 999 Games, Asterion Press, Bard Centrum Gier, Devir, Filosofia u00c9ditions
132531,Rio Grande Games, CrowD Games, Devir, Games Factory Publishing, Gigamic, Pegasus Spiele
191189,Action Phase Games, Indie Boards & Cards, Angry Lion Games, Frosted Games, Matagot, Portal Games
2511,Sleuth Publications, Space Cowboys, Angry Lion Games, Asmodee, Asmodee Italia, Asterion Press
42,Hans im Glu00fcck, 999 Games, Devir, Edge Entertainment, Fantasy Flight Games, Giochi Uniti
102680,Ammonit Spiele, Asterion Press, FoxMind, Gigamic, Gigante Jogos, HUCH!
236457,Garphill Games, Angry Lion Games, Banana Games, Ediciones Primigenio, Fever Games, Lavka Games
200680,Lookout Games, 999 Games, Compaya.hu - Gamer Cafu00e9 Kft., Devir, Funforge, Hobby World
36218,Rio Grande Games, 999 Games, Albi, Bard Centrum Gier, Conclave Editora, cutia.ro
30549,Z-Man Games, (Unknown), Albi, Asmodee, Asterion Press, Brain Games
247763,Delicious Games, Arrakis Games, Hobby World, Meeple BR Jogos, MINDOK, MS Edizioni
170042,Garphill Games, Angry Lion Games, Banana Games, Ediciones Primigenio, Games Factory Publishing, Ghenos Games
198928,Asterion Press, Devir, Filosofia u00c9ditions, Hobby Japan, Z-Man Games,NaN
103885,Fantasy Flight Games, cutia.ro, Delta Vision Publishing, Edge Entertainment, Galakta, Galu00e1pagos Jogos
127023,Matagot, Asmodee, Asterion Press, Bureau De Juegos, CrowD Games, Funiverse
146508,Space Cowboys, ADC Blackfire Entertainment, Asmodee, Asterion Press, CrowD Games, Delight
196340,OKAZU Brand, Tasty Minstrel Games, 2Tomatoes, BoardM Factory, Cranio Creations, Dexker Games
150376,Plaid Hat Games, Arclight, Cube Factory of Ideas, Edge Entertainment, Filosofia u00c9ditions, Galu00e1pagos Jogos
182874,Lookout Games, Cranio Creations, CrowD Games, Funforge, Game Harbor, Lacerta
34635,Hans im Glu00fcck, 999 Games, Asmodee, Bard Centrum Gier, Devir, Filosofia u00c9ditions
175155,Fantasy Flight Games, Asterion Press, Edge Entertainment, Galakta, Heidelberger Spieleverlag,NaN
172287,Grey Fox Games, Corax Games, Czacha Games, Dont Panic Games, Ediciones MasQueOca, Games Warehouse
104162,Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Delta Vision Publishing, Edge Entertainment, Galakta
161970,Czech Games Edition, Arclight, Cranio Creations, Devir, GaGa Games, The Game Master BV
203993,Cranio Creations, Albi, Angry Lion Games, Atalia, CMON Limited, CrowD Games
147020,White Wizard Games, ADC Blackfire Entertainment, ADC Blackfire Entertainment GmbH, Broadway Toys LTD, Devir, Games Factory
146652,Upper Deck Entertainment,NaN,NaN,NaN,NaN,NaN
9609,Ares Games, Asmodee, Devir, Fantasy Flight Games, Fantasy Shop, Galakta
244521,Schmidt Spiele, 999 Games, Arclight, Compaya.hu - Gamer Cafu00e9 Kft., Devir, G3
148949,Pegasus Spiele, 2 Pionki, Albi, Alderac Entertainment Group, Asterion Press, Devir
155821,Matagot, Gen-X Games, Hobby Japan, Lavka Games, Pegasus Spiele, Portal Games
103343,Fantasy Flight Games, ADC Blackfire Entertainment, cutia.ro, Delta Vision Publishing, Edge Entertainment, Fantasmagoria
155426,Bu00e9zier Games, Arclight, Competo / Marektoy, Gemenot, Korea Boardgames co., MINDOK
128882,Indie Boards & Cards, Broadway Toys LTD, Devir, Edge Entertainment, Gu00e9m Klub Kft., Heidelberger Spieleverlag
14996,Days of Wonder, ADC Blackfire Entertainment, Asterion Press, Bergsala Enigma, Compaya.hu - Gamer Cafu00e9 Kft., Edge Entertainment
233371,Dire Wolf Digital, Lucrum Games, Renegade Game Studios, Schwerkraft-Verlag,NaN,NaN
43111,Fantasy Flight Games, Edge Entertainment, Galakta, Heidelberger Spieleverlag, Hobby Japan, Nexus Editrice
225694,Le Scorpion Masquu00e9, 2 Pionki, ADC Blackfire Entertainment, Asmodee, Fantasmagoria, Galu00e1pagos Jogos
17133,Eagle-Gryphon Games, Winsome Games, Edge Entertainment,NaN,NaN,NaN
239188,Lucky Duck Games, 999 Games, Broadway Toys LTD, Corax Games, FoxGames, Galu00e1pagos Jogos
70149,Lookout Games, 999 Games, Filosofia u00c9ditions, Game Harbor, Heidelberger Spieleverlag, Hobby Japan
14105,GMT Games, Wargames Club Publishing,NaN,NaN,NaN,NaN
221194,Pandasaurus Games, Angry Lion Games, Asmodee, Devir, Feuerland Spiele, Hobby World
