objectid,publisher,publisher,publisher,publisher,publisher,publisher
9203,Nexus Editrice, Edge Entertainment, Fantasy Flight Games, Fantasy Shop, Galakta, Mad Mans Magic
106,Eagle-Gryphon Games, Edge Entertainment, Kaissa Chess & Games, Pegasus Spiele, U.S. Games Systems,NaN
191876,dV Giochi, HUCH!, R&R Games, Sharp Games,NaN,NaN
21441,Ystari Games, HUCH!, Lautapelit.fi, Millenium, Rio Grande Games,NaN
165986,ABACUSSPIELE, Arcane Wonders, Broadway Toys LTD,NaN,NaN,NaN
159109,CMON Limited, Cool Mini Or Not, Edge Entertainment,NaN,NaN,NaN
218121,Alley Cat Games, Kobold Spieleverlag, Maldito Games, Super Meeple,NaN,NaN
41916,Drei Magier Spiele, ADC Blackfire Entertainment, Bergsala Enigma, Competo / Marektoy, Devir, G3
268864,Osprey Games, Do it games, Nuts! Publishing,NaN,NaN,NaN
72991,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
179460,Portal Games, Stronghold Games,NaN,NaN,NaN,NaN
16986,KOSMOS, Albi, Competo / Marektoy, Devir, Egmont Polska, Fantasmagoria
256570,Pegasus Spiele, 999 Games, Ediciones MasQueOca, Matagot,NaN,NaN
204472,Inside the Box Board Games LLP (ITB), Nuts! Publishing, Schwerkraft-Verlag,NaN,NaN,NaN
173090,Nu00fcrnberger-Spielkarten-Verlag, Pandasaurus Games, Arclight, dV Giochi, Game Factory, IDW Games
82168,Cranio Creations, Heidelberger Spieleverlag, HT Publishers, Morapiaf, Osprey Games, Santa Ragione
223855,Renegade Game Studios, Gen-X Games, Lavka Games, Portal Games,NaN,NaN
61692,Avalon Hill Games,NaN,NaN,NaN,NaN,NaN
166226,Arclight, Hans im Glu00fcck, Z-Man Games,NaN,NaN,NaN
39684,Lookout Games,NaN,NaN,NaN,NaN,NaN
29934,HUCH!, Quined White Goblin Games, Rio Grande Games, Ystari Games,NaN,NaN
150312,IELLO, Oink Games, BoardM Factory, Bureau De Juegos, Buru00f3, Devir
2338,999 Games, KOSMOS, Mayfair Games, Tilsit,NaN,NaN
23540,Deep Thought Games, Wild Heaven,NaN,NaN,NaN,NaN
266507,Dire Wolf Digital, Penny Arcade, Renegade Game Studios,NaN,NaN,NaN
117985,Catan Studio, KOSMOS, 999 Games, Devir, Filosofia u00c9ditions, Giochi Uniti
163413,Lookout Games, Mayfair Games,NaN,NaN,NaN,NaN
245643,Queen Games, Calamity Games, Devir, Piatnik,NaN,NaN
127024,Matagot, Asmodee, Asterion Press, Conclave Editora, Hobby Japan, Kaissa Chess & Games
37919,Z-Man Games,NaN,NaN,NaN,NaN,NaN
10640,Fantasy Flight Games, Delta Vision Publishing, Devir, Edge Entertainment, Heidelberger Spieleverlag, Kaissa Chess & Games
233020,Asmodee, Broadway Toys LTD, Fabrika Igr, Mandoo Games, Mizo Games, Restoration Games
120523,Dice Tower Games, Game Salute,NaN,NaN,NaN,NaN
180040,Daily Magic Games, Games Factory, Games Factory Publishing,NaN,NaN,NaN
173101,CMON Limited, Cranio Creations, Heidelberger Spieleverlag,NaN,NaN,NaN
232918,Fantasy Flight Games, ADC Blackfire Entertainment, Asmodee, Delta Vision Publishing, Galakta, Hobby World
75165,Giochix.it, HomoLudicus, Lookout Games, Matagot, Z-Man Games,NaN
126100,8th Summit, Grey Fox Games, Hobby World, MS Edizioni, Pegasus Spiele,NaN
1115,(Public Domain), (Self-Published), (Unknown), ASS Altenburger Spielkarten, Basic Fun, Berliner Spielkarten
826,Venice Connection, Corfix, Devir, Giochi Uniti, Hobby World, Identity Games International B.V.
216091,Space Cowboys,NaN,NaN,NaN,NaN,NaN
109125,Queen Games,NaN,NaN,NaN,NaN,NaN
33604,North Star Games, Albi, Dr. Wood Challenge Centre, Kanga Games, Magellan, Tactic
47055,Sierra Madre Games,NaN,NaN,NaN,NaN,NaN
217861,Catch Up Games, Engames, Evrikus, Frosted Games, Funiverse, Game Harbor
15,Eon, Alga, ASS Altenburger Spielkarten, Descartes Editeur, Games Workshop Ltd., Grow Jogos e Brinquedos
85256,Asmodee, ADC Blackfire Entertainment, Asmodee Italia, Asterion Press, Esdevium, Galu00e1pagos Jogos
878,alea, Asmodee, Eagle-Gryphon Games, Ravensburger Spieleverlag GmbH, Rio Grande Games,NaN
234669,Fantasy Flight Games,NaN,NaN,NaN,NaN,NaN
134453,Ludonaute, Asmodee, Asterion Press, Broadway Toys LTD, Gu00e9m Klub Kft., Heidelberger Spieleverlag
1897,KOSMOS, Kaissa Chess & Games, Mayfair Games,NaN,NaN,NaN
9220,AMIGO, 999 Games, Asmodee, Brain Games, Bureau De Juegos, Corfix
270633,Action Phase Games, Indie Boards & Cards,NaN,NaN,NaN,NaN
184267,Eagle-Gryphon Games, Angry Lion Games, Giochix.it, hobbity.eu, Maldito Games, Mosaico Jogos
202583,Breaking Games, Gigamic,NaN,NaN,NaN,NaN
43022,Sirlin Games,NaN,NaN,NaN,NaN,NaN
257518,Monolith,NaN,NaN,NaN,NaN,NaN
66,Goldsieber Spiele, Rio Grande Games,NaN,NaN,NaN,NaN
159503,(Web published), Alderac Entertainment Group, The Game Crafter,NaN,NaN,NaN
129051,Lookout Games, Filosofia u00c9ditions, Hobby Japan, HomoLudicus, uplay.it edizioni, Z-Man Games
142992,Cryptozoic Entertainment, Renegade Game Studios,NaN,NaN,NaN,NaN
63268,ADC Blackfire Entertainment, Asmodee, Asmodee Italia, Asterion Press, Blue Orange Games, Broadway Toys LTD
902,Adlung-Spiele,NaN,NaN,NaN,NaN,NaN
149155,BoardM Factory, Bombyx, Conclave Editora, CSE Games, Heidelberger Spieleverlag, Hobby World
238992,Brotherwise Games,NaN,NaN,NaN,NaN,NaN
199966,Giochi Uniti, Stratelibri, Asmodee, Bucaneiros Jogos, Game Harbor, Heidelberger Spieleverlag
176229,Portal Games, Edge Entertainment, FunBox Jogos, Gu00e9m Klub Kft., Pegasus Spiele, REXhry
244608,999 Games, Arclight, DiceTree Games, Zoch Verlag,NaN,NaN
176371,Garphill Games, PixieGames, Renegade Game Studios, Schwerkraft-Verlag,NaN,NaN
271324,La Bou00eete de Jeu, Lucky Duck Games, Origames,NaN,NaN,NaN
83195,999 Games, Competo / Marektoy, Devir, Egmont Polska, FoxMind Israel, Gigamic
20542,Multi-Man Publishing,NaN,NaN,NaN,NaN,NaN
179572,Alderac Entertainment Group, Artipia Games, Bard Centrum Gier, Boom Boom Games, MYBG Co.,NaN
262211,Chip Theory Games,NaN,NaN,NaN,NaN,NaN
492,999 Games, Hans im Glu00fcck, Rio Grande Games,NaN,NaN,NaN
228504,Alderac Entertainment Group, Arclight, Edge Entertainment, Ediciones Primigenio, MINDOK, Pegasus Spiele
172385,eggertspiele, Gigamic, Pegasus Spiele, Stronghold Games,NaN,NaN
215841,999 Games, Devir, Dino Toys s. r. o., Galakta, Giochi Uniti, IELLO
19999,Queen Games,NaN,NaN,NaN,NaN,NaN
2842,Winning Moves Germany, Winsome Games, (Unknown), Broadway Toys LTD, Corfix, Identity Games International B.V.
1231,Competo / Marektoy, Giochi Uniti, Hasbro, Lord Carter, Milton Bradley, Venneru00f8d Forlag AS
175223,Alderac Entertainment Group, Devir,NaN,NaN,NaN,NaN
138431,Gremlin Project, Ares Games, Heidelberger Spieleverlag,NaN,NaN,NaN
144041,Deinko Games, Arclight, Bergsala Enigma, dV Giochi, IELLO, StuntKite Publishing
22038,Fantasy Flight Games, Delta Vision Publishing, Devir, Heidelberger Spieleverlag, Nexus Editrice, Ubik
215842,999 Games, Devir, Dino Toys s. r. o., Galakta, Giochi Uniti, IELLO
244049,HUCH!, dV Giochi, Gameland u6e38u620fu5927u9646, Games Factory, Maldito Games, Stronghold Games
3072,Games Workshop Ltd.,NaN,NaN,NaN,NaN,NaN
16496,Queen Games,NaN,NaN,NaN,NaN,NaN
142852,Cryptozoic Entertainment,NaN,NaN,NaN,NaN,NaN
206803,Granna, GeGe Co. Ltd., North Star Games,NaN,NaN,NaN
231733,Kayenta Games,NaN,NaN,NaN,NaN,NaN
169794,Quined Games, Capstone Games,NaN,NaN,NaN,NaN
7805,2F-Spiele, Filosofia u00c9ditions, Giochi Uniti, Rio Grande Games, Siam Board Games, Swan Panasia Co.
394,KOSMOS, 999 Games, Arclight, Filosofia u00c9ditions, IELLO, Korea Boardgames co.
423,Mayfair Games,NaN,NaN,NaN,NaN,NaN
11971,Competo / Marektoy, Corfix, Devir, Drei Magier Spiele, G3, Gu00e9m Klub Kft.
196,The Avalon Hill Game Co, Fata Morgana Spiele, New Games Order,NaN,NaN,NaN
13780,999 Games, Hans im Glu00fcck, Rio Grande Games,NaN,NaN,NaN
96007,Portal Games, IELLO,NaN,NaN,NaN,NaN
139030,Repos Production, ADC Blackfire Entertainment, Asmodee, Asterion Press, Buru00f3, Hobby Japan
146312,Korea Boardgames co., Mattel,NaN,NaN,NaN,NaN
24417,Cwali, Z-Man Games,NaN,NaN,NaN,NaN
94362,Fantasy Flight Games, Arclight, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag
274364,Frosted Games, Capstone Games, IELLO, Pegasus Spiele, Salt & Pepper Games, White Goblin Games
122294,Marabunta, Stone Blade Entertainment,NaN,NaN,NaN,NaN
206051,Oink Games, PopcornEdu,NaN,NaN,NaN,NaN
7480,GMT Games,NaN,NaN,NaN,NaN,NaN
206931,Schmidt Spiele, 999 Games, Devir, Stronghold Games,NaN,NaN
6411,Alary Games, Divisible By Zero (DBZ) Aust Pty Ltd, Educational Insights, Green Board Game Co., Hodin, Kaissa Chess & Games
131111,Sirlin Games,NaN,NaN,NaN,NaN,NaN
192074,Osprey Games, HT Publishers, Nasza Ksiu0119garnia, Swan Panasia Co.,NaN,NaN
228660,Avalon Hill Games, Wizards of the Coast,NaN,NaN,NaN,NaN
2122,Wizards of the Coast, White Wolf Productions,NaN,NaN,NaN,NaN
19237,Repos Production, Asmodee, Cru00f3mola, Heidelberger Spieleverlag, Jeux sur un Plateau, Kaissa Chess & Games
5716,KOSMOS, 999 Games, Korea Boardgames co., Nasza Ksiu0119garnia, Paper Iyagi, Rio Grande Games
9446,KOSMOS, 999 Games, Fantasy Flight Games, Tilsit,NaN,NaN
208024,Nauvoo Games,NaN,NaN,NaN,NaN,NaN
152,AMIGO, Doris & Frank, Rio Grande Games,NaN,NaN,NaN
13884,Lookout Games, Z-Man Games,NaN,NaN,NaN,NaN
125548,Delight, GaGa Games, Level 99 Games, Pegasus Spiele, Portal Games, Shining Creations
3284,Milton Bradley, Hasbro,NaN,NaN,NaN,NaN
156714,Alderac Entertainment Group,NaN,NaN,NaN,NaN,NaN
181810,Action Phase Games, Capsicum Games, Devir, Gu00e9m Klub Kft., Indie Boards & Cards, KOSMOS
183006,Nu00fcrnberger-Spielkarten-Verlag, Arclight, Gigamic, Pandasaurus Games, Popcorn Games, White Goblin Games
101785,Valley Games,NaN,NaN,NaN,NaN,NaN
58936,999 Games, Z-Man Games,NaN,NaN,NaN,NaN
24827,Cube Factory of Ideas, Filosofia u00c9ditions, Japon Brand, Kawasaki Factory, Z-Man Games,NaN
212516,R&D Games, HUCH!,NaN,NaN,NaN,NaN
34194,ABACUSSPIELE, Gu00e9m Klub Kft., Playgo Ltd (Hong Kong), Rio Grande Games,NaN,NaN
148943,Indie Boards & Cards, La Mame Games,NaN,NaN,NaN,NaN
1403,AMIGO, Berliner Spielkarten, Dal Negro, DiceTree Games, F.X. Schmid, Gamewright
167270,Gigamic, Stronghold Games, White Goblin Games,NaN,NaN,NaN
106662,2F-Spiele, 999 Games, Albi, Edge Entertainment, Filosofia u00c9ditions, Rio Grande Games
21550,(Unknown), Alary Games, Beverly Enterprises, danspil, Educational Insights, FoxMind Israel
92319,Hobby Japan, Rebel, Rio Grande Games, Ystari Games,NaN,NaN
199,Hans im Glu00fcck, Mandoo Games, 999 Games, Act in games, Arclight, Broadway Toys LTD
194626,North Star Games, 999 Games, Albi, dV Giochi, IELLO, KOSMOS
38862,Matagot, Asmodee,NaN,NaN,NaN,NaN
167513,Matagot, Asmodee, Broadway Toys LTD, Conclave Editora, Hobby Japan, Rebel
94104,Small Box Games, Kolossal Games,NaN,NaN,NaN,NaN
113401,Asmodee, ADC Blackfire Entertainment, Asmodee Italia, Asterion Press, Esdevium, Galu00e1pagos Jogos
71836,Z-Man Games, Filosofia u00c9ditions, Hobby Japan, Lacerta, Pegasus Spiele,NaN
172381,eggertspiele, 999 Games, Gigamic, hobbity.eu, Hobby Japan, Pegasus Spiele
226501,Catalyst Game Labs,NaN,NaN,NaN,NaN,NaN
22484,Bard Centrum Gier, Devir, Fantasy Flight Games, Green Board Game Co., KOSMOS, Lautapelit.fi
481,Rio Grande Games, Venice Connection, Winning Moves Germany,NaN,NaN,NaN
172220,Wizards of the Coast, WizKids,NaN,NaN,NaN,NaN
55697,eggertspiele, IELLO, Z-Man Games,NaN,NaN,NaN
594,3M, The Avalon Hill Game Co, Eagle-Gryphon Games, Face2Face Games, Ku00e4rnan, Schmidt France
123499,Red Raven Games,NaN,NaN,NaN,NaN,NaN
42487,Rio Grande Games, 999 Games, IELLO, KOSMOS, Zvezda,NaN
217085,Asmodee, Brotherwise Games, Edge Entertainment, GaGa Games,NaN,NaN
1915,999 Games, ACE Pelit Oy, Hexagonal, Iron Crown Enterprises (ICE), Joc Internacional, Queen Games
30658,Phalanx Games B.V., Phalanx Games Deutschland, Phalanx Games Polska, Edge Entertainment, Mayfair Games, Stupor Mundi
194690,Arcane Wonders, MESAboardgames, Corax Games, Edge Entertainment, Ediciones MasQueOca, Lavka Games
26,The Avalon Hill Game Co, Descartes Editeur,NaN,NaN,NaN,NaN
143986,Gigamic, Granna, Conclave Editora, cosaic, Devir, GeGe Co. Ltd.
195544,Edge Entertainment, Pegasus Spiele, Portal Games,NaN,NaN,NaN
123607,Pegasus Spiele, Sirlin Games,NaN,NaN,NaN,NaN
57925,999 Games, eggertspiele, Filosofia u00c9ditions, Lacerta, Rio Grande Games, Stupor Mundi
55829,Avalon Hill Games,NaN,NaN,NaN,NaN,NaN
38343,Nexus Editrice, Edge Entertainment, Fantasy Flight Games, Giochi Uniti, Heidelberger Spieleverlag, NG International Srl.
196202,CMON Limited, Hobby World,NaN,NaN,NaN,NaN
131325,Asmodee, Asterion Press, Esdevium, Galu00e1pagos Jogos, Gu00e9m Klub Kft., Lifestyle Boardgames Ltd
166571,AVStudioGames, Fractal Juegos,NaN,NaN,NaN,NaN
138649,WizKids,NaN,NaN,NaN,NaN,NaN
40270,Fantasy Flight Games, Arclight, Edge Entertainment, Wargames Club Publishing,NaN,NaN
22,The Avalon Hill Game Co, Hobby Japan,NaN,NaN,NaN,NaN
181524,CMON Limited, Edge Entertainment, Spaghetti Western Games,NaN,NaN,NaN
115,Eagle-Gryphon Games, Edge Entertainment, Face2Face Games, Kaissa Chess & Games, Korea Boardgames co., New Games Order
18745,FoxGames, Jolly Roger Games, Matagot, Swan Panasia Co.,NaN,NaN
116,Wizards of the Coast, AMIGO, Bergsala Enigma, Darwin Project, Halloween Concept, Hasbro
160902,WizKids,NaN,NaN,NaN,NaN,NaN
1499,Australian Design Group,NaN,NaN,NaN,NaN,NaN
26457,Ediciones MasQueOca, GMT Games, PHALANX,NaN,NaN,NaN
232988,alea, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
272453,Asmodee, Edge Entertainment, Fantasy Flight Games, Galu00e1pagos Jogos, Rebel,NaN
244114,Grail Games, 17wanzy (Yihu BG), Lavka Games, Maldito Games, Matagot, sternenschimmermeer
238638,Renegade Game Studios, Schwerkraft-Verlag,NaN,NaN,NaN,NaN
12761,Ystari Games, HUCH!, Quined White Goblin Games, Rio Grande Games,NaN,NaN
103185,Lookout Games, Heidelberger Spieleverlag,NaN,NaN,NaN,NaN
88827,Avalon Hill Games, Wizards of the Coast,NaN,NaN,NaN,NaN
168,Mayfair Games,NaN,NaN,NaN,NaN,NaN
131366,Red Raven Games, 999 Games, Bard Centrum Gier, Brain Games, Competo / Marektoy, Devir
624,(Unknown), Family Games, FoxMind Israel, Fundex, Gigamic, Great American Trading Company
192860,Devir, Fantasmagoria, Hobby World, Hutter Trade GmbH + Co KG, IELLO, Mancalamaro
147253,Red Raven Games, Hobby World, IELLO, Schwerkraft-Verlag,NaN,NaN
2081,Victory Games (I),NaN,NaN,NaN,NaN,NaN
219100,PHALANX, ASYNCRON games, Cranio Creations, CrowD Games, Ediciones MasQueOca, Galu00e1pagos Jogos
38863,TWOPLUS Games, Winning Moves Germany, Zhiyanjia,NaN,NaN,NaN
204,999 Games, Grail Games, Pegasus Spiele, Rio Grande Games,NaN,NaN
166857,PD-Verlag, Cranio Creations, Oya, Rio Grande Games,NaN,NaN
3800,Tilsit, (Web published), Competo / Marektoy,NaN,NaN,NaN
61487,GMT Games,NaN,NaN,NaN,NaN,NaN
148951,Gamelyn Games, (Web published), Fullcap Games, GaGa Games, Giochix.it, HomoLudicus
172931,Gamewright, Brain Games, FoxMind Israel, Game Factory, Kaissa Chess & Games, Kanga Games
242,Alderac Entertainment Group, ASS Altenburger Spielkarten, Borras Plana S.A., Creative Wargames Workshop, Descartes Editeur, Ediciones MasQueOca
224821,Asmadi Games, Banana Games, Czacha Games, MS Edizioni, Nuts! Publishing, Schwerkraft-Verlag
171662,Sierra Madre Games, Banana Games, Fox in the Box, Ion Game Design,NaN,NaN
73369,Portal Games, Edge Entertainment, IELLO, Toy Vault,NaN,NaN
41933,Rio Grande Games, Driftwood Games, Ystari Games,NaN,NaN,NaN
34297,Capstone Games, Chili Spiele, 999 Games, Mamute Jogos, Strategic Space,NaN
116954,Gameland u6e38u620fu5927u9646, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
24773,JKLM Games, Rio Grande Games,NaN,NaN,NaN,NaN
6351,Zoch Verlag, Competo / Marektoy, Rio Grande Games,NaN,NaN,NaN
701,Diseu00f1os Orbitales, Game Designers Workshop, Mayfair Games, Phalanx Games B.V.,NaN,NaN
159504,Greenbrier Games, Twin Fire Productions,NaN,NaN,NaN,NaN
142079,Stronghold Games,NaN,NaN,NaN,NaN,NaN
254591,Asmodee, Fantasy Flight Games, Hobby World,NaN,NaN,NaN
201,999 Games, db-Spiele, KOSMOS, Tilsit, White Goblin Games,NaN
3228,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
165950,Zoch Verlag, 999 Games, Devir, REXhry,NaN,NaN
34887,Pegasus Spiele, Revolution Games (I), Steve Jackson Games,NaN,NaN,NaN
193308,Hobby World, Cryptozoic Entertainment, Desyllas Games, dV Giochi, Jumping Turtle Games, Mandoo Games
168609,IELLO, Red Raven Games,NaN,NaN,NaN,NaN
113873,Consim Press,NaN,NaN,NaN,NaN,NaN
122842,NSKN Games,NaN,NaN,NaN,NaN,NaN
112138,Ankama, Abysse Corp., Galu00e1pagos Jogos, Ghenos Games, Japanime Games, Pegasus Spiele
90040,Eagle-Gryphon Games, eggertspiele, IELLO,NaN,NaN,NaN
146221,Cephalofair Games,NaN,NaN,NaN,NaN,NaN
195571,Upper Deck Entertainment,NaN,NaN,NaN,NaN,NaN
264055,Ankama, Board Game Box, Brain Picnic, Zacatrus,NaN,NaN
31497,Hans im Glu00fcck, Lautapelit.fi, Rio Grande Games, Venneru00f8d Forlag AS,NaN,NaN
1568,Milton Bradley, Games Workshop Ltd., Hasbro, MB Giochi, MB Juegos, MB peli
21920,dV Giochi, ABACUSSPIELE, Lautapelit.fi, Mayfair Games, Quined White Goblin Games, Tilsit
5206,Steve Jackson Games, (Web published), Hobby Japan, Metagaming,NaN,NaN
266121,Space Cowboys, Asmodee, Asterion Press,NaN,NaN,NaN
191894,u30dcu30c9u30b2u30a4u30e0 (Bodogeimu), Cocktail Games, Asmodee, Broadway Toys LTD, Galu00e1pagos Jogos, Gamewright
138233,Asmodee, Marabunta, Stone Blade Entertainment,NaN,NaN,NaN
254,Australian Design Group, The Avalon Hill Game Co,NaN,NaN,NaN,NaN
6205,GMT Games,NaN,NaN,NaN,NaN,NaN
33451,Arclight, Hobby World, Pegasus Spiele, SlugFest Games,NaN,NaN
2987,Days of Wonder, AMIGO, Lautapelit.fi,NaN,NaN,NaN
15818,Zoch Verlag, 999 Games, Bergsala Enigma, Edition Maritim, Egmont Polska, FoxMind Israel
158900,Funforge, Gu00e9m Klub Kft., Hobby World, Rebel, REXhry,NaN
139771,WizKids,NaN,NaN,NaN,NaN,NaN
3955,dV Giochi, ABACUSSPIELE, Albi, Asmodee, Bard Centrum Gier, Cru00f3mola
103092,KOSMOS,NaN,NaN,NaN,NaN,NaN
438,Ravensburger Spieleverlag GmbH, Bonaparte, Educa Sallent SA, Funskool Games, Grow Jogos e Brinquedos, Kawada
14254,Ferti,NaN,NaN,NaN,NaN,NaN
143175,KOSMOS, Grail Games,NaN,NaN,NaN,NaN
39339,Fantasy Flight Games,NaN,NaN,NaN,NaN,NaN
3565,Games Workshop Ltd.,NaN,NaN,NaN,NaN,NaN
199383,ADC Blackfire Entertainment GmbH, Arrakis Games, Rightgames RBG SIA, Stronghold Games,NaN,NaN
111417,Dice Hate Me Studio, One Moment Games,NaN,NaN,NaN,NaN
178054,Treefrog Games, Arclight, Asterion Press, Ediciones MasQueOca, Grey Fox Games, PHALANX
19622,Multi-Man Publishing,NaN,NaN,NaN,NaN,NaN
107255,Asmodee, Asterion Press, Descartes Editeur,NaN,NaN,NaN
37387,Pegasus Spiele, Treefrog Games, Warfrog Games,NaN,NaN,NaN
1829,Avalon Hill Games,NaN,NaN,NaN,NaN,NaN
157917,Giochix.it, REDIMP GAMES,NaN,NaN,NaN,NaN
70,Goldsieber Spiele, 999 Games, Rio Grande Games,NaN,NaN,NaN
226518,999 Games, Devir, Dino Toys s. r. o., Galakta, Giochi Uniti, IELLO
284083,KOSMOS, 999 Games,NaN,NaN,NaN,NaN
37907,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
29937,Histogame,NaN,NaN,NaN,NaN,NaN
157413,Dice Hate Me Studio,NaN,NaN,NaN,NaN,NaN
119,Hans im Glu00fcck, ADC Blackfire Entertainment, Arclight, Bergsala Enigma, cutia.ro, Delta Vision Publishing
10093,Avalon Hill Games, Tilsit,NaN,NaN,NaN,NaN
730,The Avalon Hill Game Co, L2 Design Group,NaN,NaN,NaN,NaN
619,Bambus Spieleverlag, Lautapelit.fi, Mont Tu00e0ber, Playagame Edizioni, PopcornEdu, Stronghold Games
254386,Forbidden Games,NaN,NaN,NaN,NaN,NaN
157096,Giochix.it, Arclight, Bard Centrum Gier, Gigamic, Golden Egg Games,NaN
163474,Triton Noir,NaN,NaN,NaN,NaN,NaN
35435,Matagot, Heidelberger Spieleverlag, Rio Grande Games,NaN,NaN,NaN
38765,Tasty Minstrel Games,NaN,NaN,NaN,NaN,NaN
143185,Alderac Entertainment Group, Edge Entertainment, Hobby World, IELLO, Pegasus Spiele, uplay.it edizioni
171726,Artipia Games, Drawlab Entertainment,NaN,NaN,NaN,NaN
149951,Dan Verssen Games (DVG),NaN,NaN,NaN,NaN,NaN
2397,(Public Domain), (Unknown), 3M, Alga, Ariel Productions Ltd, Arrow Games Ltd
136280,Asterion Press, Competo / Marektoy, CreativaMente, Filosofia u00c9ditions, Korea Boardgames co., KOSMOS
915,Days of Wonder, Edge Entertainment, Giochi Uniti, KDS Distribuzione (Italy), MultiSim,NaN
205317,ADC Blackfire Entertainment, Asterion Press, Bethesda Softworks, Edge Entertainment, Fantasy Flight Games, Galakta
2065,(Public Domain), (Self-Published), (Unknown), Aztral Games, The Elephant Chess Club, F.X. Schmid
195043,Devir, Gemblo, IELLO, Kaissa Chess & Games, Mancalamaro, PopcornEdu
200057,Tasty Minstrel Games, Do it games, sternenschimmermeer,NaN,NaN,NaN
239942,Ludus Magnus Studio,NaN,NaN,NaN,NaN,NaN
1544,Canada Games, Casper, Drumond Park Ltd., Hasbro, Parker Brothers, Popular de Juguetes
986,999 Games, Filosofia u00c9ditions, KOSMOS, Rio Grande Games, Tilsit, White Goblin Games
144529,Portal Games, IELLO, Pegasus Spiele,NaN,NaN,NaN
22877,GMT Games,NaN,NaN,NaN,NaN,NaN
142961,Alderac Entertainment Group, Pegasus Spiele,NaN,NaN,NaN,NaN
2393,(Public Domain), (Unknown), Carlton Books, Cathay, CHH Games, Dilemma Games
104955,PD-Verlag, Oya, Rio Grande Games,NaN,NaN,NaN
113636,Queen Games,NaN,NaN,NaN,NaN,NaN
99975,Asmodee, Asterion Press, Gu00e9m Klub Kft., Hazgaard Editions, Rebel, REXhry
129736,999 Games, Devir, Drei Magier Spiele, G3, Gu00e9m Klub Kft., Gigamic
21133,Corvus Belli,NaN,NaN,NaN,NaN,NaN
146418,Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag,NaN
195856,Asmodee, CMON Limited, Edge Entertainment, Lavka Games, Lex Games, Portal Games
8129,AMIGO, Asmodee, Eagle-Gryphon Games, Fantasmagoria, Gigamic, Kikigagne?
245961,Eagle-Gryphon Games,NaN,NaN,NaN,NaN,NaN
202077,Diemension Games,NaN,NaN,NaN,NaN,NaN
129459,Worldspanner,NaN,NaN,NaN,NaN,NaN
175307,Alderac Entertainment Group, Cryptozoic Entertainment,NaN,NaN,NaN,NaN
237,The Avalon Hill Game Co, Battleline,NaN,NaN,NaN,NaN
91984,Le Scorpion Masquu00e9, Asmodee, Ystari Games,NaN,NaN,NaN
40209,Decision Games (I),NaN,NaN,NaN,NaN,NaN
125752,Gotha Games,NaN,NaN,NaN,NaN,NaN
216201,Avalon Hill Games, Hasbro,NaN,NaN,NaN,NaN
494,Asmodee, Cafe Games, Grow Jogos e Brinquedos, Japon Brand, Man-indo, Mu00f6bius Games
8098,Asmodee, ADC Blackfire Entertainment, Asterion Press, Cru00f3mola, FoxMind, Galu00e1pagos Jogos
170604,Victory Point Games,NaN,NaN,NaN,NaN,NaN
163805,PD-Verlag, Rio Grande Games,NaN,NaN,NaN,NaN
37358,Jolly Roger Games,NaN,NaN,NaN,NaN,NaN
1887,Alderac Entertainment Group, Five Rings Publishing Group, Wizards of the Coast,NaN,NaN,NaN
38545,Burley Games, 999 Games, Devir, FoxMind, HUCH!, Zvezda
168998,Asmodee, WizKids,NaN,NaN,NaN,NaN
552,Splotter Spellen, Capstone Games,NaN,NaN,NaN,NaN
155255,Sierra Madre Games,NaN,NaN,NaN,NaN,NaN
230303,Space Cowboys,NaN,NaN,NaN,NaN,NaN
205046,Aporta Games, Granna, Hobby World, Ludicus, Morapiaf, NeoTroy Games
361,999 Games, ABACUSSPIELE, Alga, Broadway Toys LTD, danspil, Devir
176083,Asmodee, Rebel, Space Cowboys,NaN,NaN,NaN
1662,The Avalon Hill Game Co, Columbia Games, Gamma Two Games,NaN,NaN,NaN
145189,Asmodee, Gu00e9m Klub Kft., More Fun Co., REXhry,NaN,NaN
226520,999 Games, Giochi Uniti, IELLO, KOSMOS, Zvezda,NaN
38386,eggertspiele, Filosofia u00c9ditions, The Game Master BV, Rio Grande Games, Stupor Mundi, Zvezda
165948,Zoch Verlag,NaN,NaN,NaN,NaN,NaN
38992,Filosofia u00c9ditions, Hans im Glu00fcck, Rio Grande Games,NaN,NaN,NaN
208895,Arclight, Bu00e9zier Games, MYBG Co.,NaN,NaN,NaN
233678,Edition Spielwiese, Blackrock Games, Compaya.hu - Gamer Cafu00e9 Kft., Cranio Creations, Game Harbor, Happy Baobab
149776,Emergent Games (II), dV Giochi, Edge Entertainment, Heidelberger Spieleverlag, Meeple BR Jogos, Play & Win
56931,Queen Games,NaN,NaN,NaN,NaN,NaN
2251,Strat-O-Matic Game Company,NaN,NaN,NaN,NaN,NaN
