sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
4483,98443,Dark Horse,2012,1,4,90,90,6.74283,2.6667,81123,American West, Dice, Territory Building, Trains,na,na,Dice Rolling, Network and Route Building, Variable Player Powers, Worker Placement,na,na,272
4484,62814,Tumblin-Dice Medium,2008,2,6,15,15,7.25045,1,12873,Dexterity, Dice,na,na,na,na,Dice Rolling,na,na,na,na,na,176
4485,3044,Air Assault On Crete\/Invasion of Malta  1942,1977,2,2,240,240,6.38986,3.1774,77034,Aviation, War, War,na,na,na,Hexagon Grid,na,na,na,na,na,462
4486,151275,Ophir,2015,2,4,45,60,6.85192,2.2,63258,Economic, War,na,na,na,na,Dice Rolling, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers,na,260
4487,258244,Discover  Lands Unknown,2018,1,4,60,120,5.98938,2.2927,282431,Adventure, Exploration,na,na,na,na,Modular Board, Player Elimination, Variable Player Powers,na,na,na,1324
4488,1668,Modern Naval Battles,1989,2,6,90,90,6.42016,2.2182,77691,card, War, War, Print & Play, War,na,Hand Management, Take That,na,na,na,na,412
4489,268493,Mechanica,2019,1,4,45,75,7.41202,2.4615,24701,industry_manuf, Puzzle, Sci_Fi,na,na,na,Network and Route Building, Tile Placement,na,na,na,na,207
4490,110286,Zong Shi,2012,3,5,60,90,6.52911,2.5517,60543,Medieval,na,na,na,na,na,Set Collection, Worker Placement,na,na,na,na,327
4491,211734,\u8001\u5e2b\u656c\u670d (Master of Respect),2016,3,5,60,60,7.28863,2.6667,20152,card,na,na,na,na,na,Action Queue, Variable Phase Order,na,na,na,na,183
4492,99437,Rumble in the House,2011,3,6,20,20,6.09227,1.0526,56192,Bluffing, Deduction, Fighting, Humor, Party Game,na,Grid Movement, Modular Board, Secret Unit Deployment,na,na,na,763
4493,3710,MBT (first edition),1989,2,6,60,60,6.64299,3.7907,90338,War, War,na,na,na,na,Hexagon Grid, Modular Board, Simultaneous Action Selection, Team-Based Game,na,na,337
4494,17162,Obstg\u00e4rtchen,2004,1,4,15,15,6.46672,1.1111,35516,Childrens Game, Deduction, Dice, Memory,na,na,Cooperative Game, Memory,na,na,na,na,360
4495,623,Swashbuckler,1980,2,6,90,90,6.92958,2.4375,60882,Fighting, Renaissance,na,na,na,na,Action Queue, Simultaneous Action Selection,na,na,na,na,241
4496,249814,Crimson Company,2019,2,2,10,45,7.63131,2.2857,25431,card, Fantasy, Medieval, Pirates, Print & Play,na,Auction/Bidding, Card Drafting,na,na,na,na,207
4497,84732,Kariba,2010,2,6,15,15,6.77112,1,19222,card, Childrens Game,na,na,na,na,Hand Management,na,na,na,na,na,252
4498,14403,Warhammer 40,2004,2,2,60,120,6.61349,3,96086,Miniatures, Sci_Fi,na,na,na,na,Dice Rolling, Modular Board, Variable Player Powers,na,na,na,352
4499,260407,Soviet Kitchen Unleashed,2018,1,6,25,25,6.9988,1.8333,17284,card, Humor,na,na,na,na,Cooperative Game, Hand Management, Push Your Luck,na,na,na,249
4500,69136,Bloody April,2012,1,2,120,120,7.35717,4.075,123519,Aviation, War, War,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,187
4501,230315,The Sanctuary  Endangered Species,2017,2,4,30,60,6.81463,3.2,45851,Animals, Environmental,na,na,na,na,Worker Placement,na,na,na,na,na,244
4502,33767,Yavalath,2007,2,3,10,10,7.10707,2.3,42884,strategy,na,na,na,na,na,Pattern Building,na,na,na,na,na,205
4503,1823,1829,1974,3,9,360,360,7.00479,3.7619,71107,Economic, Trains, Transportation,na,na,na,Commodity Speculation, Network and Route Building, Stock Holding,na,na,na,221
4504,244769,HEXplore It  The Forests of Adrimon,2019,1,7,60,180,8.22112,3.3636,46836,Adventure, Dice, Exploration, Fantasy, Farming, Fighting,Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Push Your Luck, Role Playing,134
4505,158837,27th Passenger  A Hunt On Rails,2014,3,6,45,45,6.84377,2,46479,card, Deduction, Party Game,na,na,na,Hand Management, Paper-and-Pencil, Player Elimination, Simultaneous Action Selection,na,na,247
4506,11161,Dungeoneer  Den of the Wererats,2004,2,2,30,30,6.32985,2.1064,51714,Adventure, card, Dice, Exploration, Fantasy,na,Action Points, Dice Rolling, Hand Management, Modular Board, Variable Player Powers,na,474
4507,176435,Thrash'n Roll,2015,2,4,45,90,6.71161,3.125,57370,card, Music,na,na,na,na,Dice Rolling, Set Collection, Simulation, Worker Placement,na,na,286
4508,26148,Affentennis,2006,2,2,60,60,7.08841,1.5714,27889,Dexterity, Sports,na,na,na,na,Action / Dexterity, Sports,na,na,na,na,195
4509,159141,OWACON,2012,3,4,40,40,6.44118,2.375,68471,Bluffing, Deduction, Sci_Fi,na,na,na,Worker Placement,na,na,na,na,na,389
4510,6657,Such a Thing?,1989,2,8,30,30,6.14278,1.25,40065,Party Game, Word Game,na,na,na,na,Storytelling, Voting,na,na,na,na,645
4511,232303,Amun-Re  The Card Game,2017,2,5,45,45,6.79347,2.5,30738,card,na,na,na,na,na,Auction/Bidding, Hand Management,na,na,na,na,285
4512,2076,Gulf Strike,1983,2,2,360,360,6.64789,4.3718,101208,War, War,na,na,na,na,Dice Rolling, Hexagon Grid, Simulation,na,na,na,380
4513,148231,Corto,2013,2,4,20,40,6.70424,2.2069,47925,Adventure, card, Adaptation,na,na,na,Area Majority / Influence, Hand Management, Modular Board, Team-Based Game,na,na,283
4514,256442,Airship City,2018,3,4,75,120,7.30476,3.2,33114,Aviation, Sci_Fi,na,na,na,na,Grid Movement, Set Collection, Worker Placement,na,na,na,168
4515,246742,Ch\u00e2teau Aventure,2018,2,10,30,30,7.36355,1,7607,Adventure, Book, Fantasy, Horror, Medieval, Sci_Fi,Cooperative Game, Role Playing, Storytelling,na,na,na,166
4516,33759,Omega Centauri,2014,2,4,60,60,7.03356,3.1429,168538,Civilization, Sci_Fi,na,na,na,na,Modular Board, Variable Phase Order,na,na,na,na,219
4517,30024,Kachina,2009,2,5,45,45,6.64394,2.0606,61062,American West, Mythology,na,na,na,na,Hand Management, Tile Placement,na,na,na,na,348
4518,18932,Siena,2005,2,5,90,90,6.14694,3.3238,107623,Economic, Medieval,na,na,na,na,Auction/Bidding, Hand Management,na,na,na,na,689
4519,228390,Sunflower Valley,2017,2,5,45,60,6.95736,1.7273,46363,City Building, Dice, Farming, Trains, Transportation,na,Area Majority / Influence, Dice Rolling, Line Drawing, Network and Route Building, Paper-and-Pencil,na,263
4520,129945,HomeStretch,2012,2,6,60,60,6.69569,1.6207,40325,Animals, Racing, Sports,na,na,na,Betting and Bluffing, Card Drafting, Dice Rolling, Roll / Spin and Move, Stock Holding,na,269
4521,231553,Jagged Alliance  The Board Game,2019,1,4,45,360,8.56022,3.5385,42552,Dice, Fighting, Miniatures, War, Adaptation,na,Action Points, Campaign / Battle Card Driven, Cooperative Game, Modular Board, Variable Phase Order,na,138
4522,123844,City Hall,2014,2,4,90,90,6.56099,2.7692,85800,City Building, Political,na,na,na,na,Auction/Bidding, Tile Placement,na,na,na,na,322
4523,9342,Fifth Avenue,2004,2,4,60,100,6.00176,2.6476,103640,City Building,na,na,na,na,na,Area Majority / Influence, Auction/Bidding,na,na,na,na,910
4524,52568,Mali Powsta\u0144cy  Warszawa 1944,2009,2,4,30,30,6.57985,2.069,50336,War,na,na,na,na,na,Dice Rolling, Hand Management, Pick-up and Deliver, Point to Point Movement, Simultaneous Action Selection,na,328
4525,3563,The Lord of the Rings  The Fellowship of the Ring \u2013 Battle Games in the World of Middle Earth (alternate),2001,2,2,90,90,6.53199,2.8462,88926,Fantasy, Miniatures, Adaptation, Adaptation, War,na,Campaign / Battle Card Driven, Modular Board,na,na,na,na,360
4526,157912,Rise to Power,2014,2,6,30,45,6.45804,2.3636,54543,card, City Building, Sci_Fi,na,na,na,Card Drafting, Hand Management, Set Collection,na,na,na,397
4527,165748,Psycho Raiders,2014,2,7,45,45,7.94126,2.7143,44922,Horror, Adult, Racing,na,na,na,Hexagon Grid,na,na,na,na,na,126
4528,146922,Chain of Command,2013,2,2,120,120,8.34697,3,36249,Book, Miniatures, War, War,na,na,Action Points, Dice Rolling, Simulation, Variable Player Powers,na,na,132
4529,39088,Hoppladi Hopplada!,2008,2,7,20,20,6.29346,1.2647,23771,Animals, Childrens Game, Dice,na,na,na,Dice Rolling, Push Your Luck,na,na,na,na,459
4530,2678,Voyage of the B.S.M. Pandora,1981,1,2,90,90,6.75068,2.6333,79107,Adventure, Exploration, Sci_Fi, Space Exploration,na,na,Hexagon Grid,na,na,na,na,na,295
4531,214491,Paku Paku,2017,2,8,10,10,6.43961,1,23244,Dexterity, Dice, Party Game, Real-time,na,na,Dice Rolling, Real-Time,na,na,na,na,387
4532,133437,Dead Panic,2013,2,6,90,90,6.00335,2.2683,116532,Zombies,na,na,na,na,na,Action Points, Cooperative Game, Dice Rolling, Hand Management, Variable Player Powers,na,985
4533,237023,Era of Kingdoms,2019,1,4,30,45,7.59316,2.2143,24535,Civilization, Medieval, Renaissance,na,na,na,Hand Management, Trading,na,na,na,na,189
4534,250821,Battlestar Galactica  Starship Battles \u2013 Starter Set,2018,2,4,30,60,8.16803,3.3333,90547,Aviation, Miniatures, Adaptation, Sci_Fi, War,na,Action Queue, Simulation, Simultaneous Action Selection, Variable Player Powers,na,na,157
4535,135215,Lords of War  Orcs versus Dwarves,2012,2,8,30,30,6.72829,1.9,46237,card, Fantasy, War,na,na,na,Hand Management, Player Elimination, Variable Player Powers,na,na,na,345
4536,2168,Hitler's War,1981,2,3,300,300,6.26889,3,102489,War, War,na,na,na,na,Dice Rolling, Hexagon Grid, Simulation,na,na,na,522
4537,121193,Cover Your Assets,2011,2,6,15,45,6.24441,1.16,42015,card, Economic,na,na,na,na,Hand Management, Set Collection, Take That,na,na,na,634
4538,459,Ausgebremst,1993,3,6,45,45,6.89191,1.6071,39487,Racing, Sports,na,na,na,na,Modular Board,na,na,na,na,na,236
4539,237706,Heroes of Tenefyr,2019,1,4,60,60,7.35141,2.25,27502,card, Fantasy,na,na,na,na,Cooperative Game, Deck, Push Your Luck, Variable Player Powers,na,na,208
4540,66613,Titania,2010,2,4,60,60,6.3986,2.2286,51386,War,na,na,na,na,na,Hand Management,na,na,na,na,na,390
4541,254976,Skylands,2018,2,4,30,45,6.73289,2,35727,Exploration, Fantasy,na,na,na,na,Enclosure, Tile Placement,na,na,na,na,266
4542,34169,Potion-Making  Practice,2005,2,6,40,40,6.17619,1.7368,50716,card, Fantasy,na,na,na,na,Hand Management, Set Collection,na,na,na,na,733
4543,172008,Critical Mass  Patriot vs Iron Curtain,2018,2,2,30,30,6.93498,2.25,46158,card, Fighting, Sci_Fi,na,na,na,Deck, Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers,na,217
4544,221366,Epic Spell Wars of the Battle Wizards  Melee at Murdershroom Marsh,2017,2,6,30,30,6.78242,1.6667,24740,Fantasy, Fighting, Humor,na,na,na,Dice Rolling, Hand Management, Take That,na,na,na,307
4545,213670,Munchkin X-Men,2017,3,4,60,120,7.14872,2,24984,card, Adaptation, Fighting,na,na,na,Card Drafting, Dice Rolling, Take That, Variable Player Powers,na,na,232
4546,186302,Die fiesen 7,2015,2,6,15,25,6.52375,1.1429,25823,card, Party Game,na,na,na,na,Card Game, Party Game,na,na,na,na,384
4547,67593,Die S\u00e4ulen der Erde  das Kartenspiel,2010,3,4,60,60,6.15412,2.125,39361,card, Medieval, Adaptation,na,na,na,Hand Management, Trick-taking,na,na,na,na,634
4548,155042,Steam Donkey,2014,2,4,45,45,6.70158,2.1538,30809,card,na,na,na,na,na,Card Drafting, Hand Management, Push Your Luck, Set Collection,na,na,278
4549,158168,NHL Power Play Team-Building Card Game,2014,2,4,30,30,6.8662,1.9333,33889,card, Sports,na,na,na,na,Deck,na,na,na,na,na,255
4550,99459,Banjooli Xeet,2013,2,5,30,30,6.42352,1.1538,36256,Bluffing, Dice, Racing,na,na,na,Dice Rolling, Modular Board, Roll / Spin and Move,na,na,na,423
4551,40935,Zoowaboo,2009,2,4,20,30,6.37654,1.0541,42958,Dexterity, Animals, Childrens Game, War, Real-time,na,Betting and Bluffing, Push Your Luck, Team-Based Game,na,na,na,397
4552,181265,Fourmidable,2017,1,6,30,80,7.05756,2.3333,52648,Animals, card, Environmental, Territory Building,na,na,Action Queue, Area Majority / Influence, Grid Movement, Hand Management, Variable Player Powers,na,272
4553,308,Santa Fe,1992,2,5,70,70,6.96116,2.2143,33453,Trains,na,na,na,na,na,Card Drafting, Network and Route Building,na,na,na,na,221
4554,5071,Sjoelen,1870,1,4,30,30,6.7018,1.1923,52648,Dexterity,na,na,na,na,na,Action / Dexterity,na,na,na,na,na,278
4555,4102,Europa Universalis,1993,1,6,525,1100,6.77557,4.8919,279621,Age of Reason, Civilization, War, Renaissance, War,na,Area Movement, Simulation,na,na,na,na,323
4556,1233,Facts in Five,1964,1,5,30,30,6.07716,1.6753,80297,Party Game, Trivia, Word Game,na,na,na,Party Game, Trivia, Word Game,na,na,na,778
4557,178209,Adventure Time Fluxx,2015,2,6,10,30,6.47,1.4,24369,card, Adaptation,na,na,na,na,Hand Management, Set Collection,na,na,na,na,494
4558,185021,Liguria,2015,3,4,60,60,6.8114,2.3846,61056,Fighting, War, Renaissance,na,na,na,Card Drafting, Pick-up and Deliver, Set Collection,na,na,na,252
4559,143782,Global Mogul,2013,1,4,60,120,7.00881,3.4167,38460,Economic, industry_manuf,na,na,na,na,Area Majority / Influence, Worker Placement,na,na,na,na,210
4560,8935,Shazamm!,2003,2,2,30,30,6.18463,1.8889,82050,Bluffing, card, Fantasy,na,na,na,Auction/Bidding, Hand Management, Simultaneous Action Selection,na,na,na,583
4561,233208,D-Day Dice (Second edition),2019,1,4,45,45,7.95484,2.3333,93841,Dice, War, War,na,na,na,Cooperative Game, Dice Rolling, Simultaneous Action Selection,na,na,na,126
4562,249505,Nyctophobia,2018,3,5,30,45,6.30534,1.6667,138879,Horror,na,na,na,na,na,Memory, Team-Based Game, Variable Player Powers,na,na,na,475
4563,5222,Old Town,2000,1,4,45,45,6.39871,2.2619,48076,American West, Deduction,na,na,na,na,Hand Management, Tile Placement,na,na,na,na,387
4564,13230,Gobblet Gobblers,2003,2,2,10,10,6.21297,1.3333,50589,strategy, Childrens Game, Memory,na,na,na,Memory,na,na,na,na,na,603
4565,152241,Ultimate Werewolf,2014,5,30,30,90,6.63716,1.2,34507,Bluffing, card, Deduction, Fantasy, Horror, murder_mystery,Hidden Roles, Role Playing, Storytelling, Team-Based Game, Traitor Game, Variable Player Powers,317
4566,142557,Rory's Story Cubes  Enchanted,2013,1,12,15,15,6.69031,1.1111,10227,Dice,na,na,na,na,na,Cooperative Game, Dice Rolling, Pattern Recognition, Storytelling,na,na,293
4567,261342,Old West Empresario,2019,2,4,45,60,7.24168,2,22444,American West, City Building,na,na,na,na,Tile Placement, Variable Player Powers,na,na,na,na,172
4568,165346,Mint Tin Pirates,2014,2,2,10,10,7.49403,1.1795,19563,card, Dice, Pirates,na,na,na,Dice Rolling, Hand Management,na,na,na,na,243
4569,34871,Ventura,2011,2,4,90,90,6.45442,3.0476,179872,Renaissance, Territory Building, War,na,na,na,Area Majority / Influence, Card Drafting, Grid Movement, Modular Board, Simultaneous Action Selection, Tile Placement,430
4570,65334,Flash Duel Deluxe,2010,2,2,10,10,6.67858,1.4783,62340,card, Fantasy, Fighting,na,na,na,Hand Management, Variable Player Powers,na,na,na,na,317
4571,31808,GUBS  A Game of Wit and Luck,2007,2,6,20,20,6.01518,1.3953,86682,card, Fantasy, Party Game,na,na,na,Hand Management, Set Collection, Take That,na,na,na,1263
4572,126000,Letnisko,2013,2,5,45,45,6.71839,2.2,31938,card, Economic,na,na,na,na,Worker Placement,na,na,na,na,na,280
4573,11865,Koi-Koi,0,2,4,15,30,6.81471,1.6364,45000,card,na,na,na,na,na,Hand Management, Set Collection,na,na,na,na,263
4574,39941,Legion of Honor,2014,1,6,240,480,7.31694,2.7143,113260,Adventure, card, War, War,na,na,Campaign / Battle Card Driven, Dice Rolling, Role Playing,na,na,na,186
4575,191071,Skull King  Das W\u00fcrfelspiel,2016,3,6,30,30,6.62419,1.375,19180,Dice, Pirates,na,na,na,na,Dice Rolling, Trick-taking,na,na,na,na,314
4576,263155,One Key,2019,2,6,20,20,6.56282,1.4,45013,card, Deduction, Party Game,na,na,na,Betting and Bluffing, Communication Limits, Cooperative Game, Pattern Recognition,na,na,326
4577,13337,Whist,1663,2,4,60,60,6.41771,2.0312,34038,card,na,na,na,na,na,Team-Based Game, Trick-taking,na,na,na,na,390
4578,2891,Starfire,1979,2,3,30,120,6.84786,2.6129,72415,Sci_Fi, Space Exploration, War,na,na,na,Action Points, Hexagon Grid, Modular Board, Variable Player Powers,na,na,280
4579,213648,South Pacific  Breaking the Bismarck Barrier 1942-1943,2016,2,2,90,120,7.85984,3.75,36941,War, War, War,na,na,na,Campaign / Battle Card Driven, Dice Rolling, Hexagon Grid,na,na,na,127
4580,231639,Harvest Island,2017,2,4,30,40,7.0782,1.5,28535,Animals, card,na,na,na,na,Hand Management, Set Collection,na,na,na,na,199
4581,6202,The Rise of the Roman Republic,2003,2,3,240,240,6.90239,3.7667,87936,Ancient, War,na,na,na,na,Chit-Pull System, Hexagon Grid, Simulation,na,na,na,230
4582,145103,7 Days of Westerplatte,2013,1,4,45,60,6.67592,2.3636,59077,Educational, War, War,na,na,na,Chit-Pull System, Cooperative Game, Point to Point Movement,na,na,na,299
4583,2114,Duck,1997,2,4,20,20,6.17755,1.037,46274,Animals, card, Childrens Game,na,na,na,Push Your Luck,na,na,na,na,na,546
4584,233015,Imperius,2018,2,4,20,45,6.83485,2.5,131362,card, Sci_Fi,na,na,na,na,Card Drafting, Secret Unit Deployment, Variable Player Powers,na,na,na,264
4585,183797,Timeline  Star Wars,2015,2,8,15,15,6.18711,1.1818,30806,card, Educational, Adaptation, Trivia,na,na,Card Game, Educational, Movies / TV / Radio theme, Trivia,na,na,550
4586,16443,Dungeoneer  Dragons of the Forsaken Desert,2005,2,4,60,60,6.28255,2.1961,48619,Adventure, card, Fantasy,na,na,na,Area Movement, Dice Rolling, Modular Board, Role Playing, Variable Player Powers,na,501
4587,145393,Gem Rush,2013,1,6,45,45,6.72175,1.8333,49521,Exploration, Fantasy,na,na,na,na,Cooperative Game, Hand Management, Modular Board, Set Collection, Tile Placement,na,274
4588,12898,La Bataille d'Auerst\u00e6dt,1977,1,2,330,480,7.60701,3.8571,38012,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,157
4589,515,6-Tage Rennen,1986,3,8,60,60,6.88096,1.76,24607,Racing, Sports,na,na,na,na,Racing, Sports,na,na,na,na,242
4590,286431,Electropolis,2019,2,4,50,70,7.33364,2.3333,14185,City Building, Environmental,na,na,na,na,Card Drafting, Tile Placement,na,na,na,na,165
